,name,text_clean,Category_New,x,y
17,INFRAERO's Internal Bidding and Contract Regulation,the durat of commerci concess contract must be limit to i month concess without invest or ii month concess with invest,A,14.120035,11.336533
18,INFRAERO's Internal Bidding and Contract Regulation,the contract may allow sub-concess of commerci concess contract but it must be limit to of the area and aim at the execut of ancillari servic to the main activ of the contract infraero must author ani sub-concess,A,11.164269,12.387455
19,INFRAERO's Internal Bidding and Contract Regulation,situat in which contract may be directli award i sale or provis of good or servic compris the corpor purpos of the soe ii choic of the privat partner involv specif characterist prevent a competit procedur,A,13.096083,8.268844
20,INFRAERO's Internal Bidding and Contract Regulation,situat in which contract may be directli award differ case among which i low-valu contract a contract compris engin work and servic up to brl around eur and b contract compris other servic purchas and sell up to brl around eur ii when the bid procedur fail no bid submiss and it is not possibl to open a new public tender iii when the bid valu are higher than the market price iv emerg situat and v lea of airport oper area by air carrier for their dispatch offic workshop and deposit facil or for shelter repair and fuell of aircraft,A,9.413487,12.801907
21,INFRAERO's Internal Bidding and Contract Regulation,a perform guarante may be requir by infraero for procur of good work and servic a well a commerci lea of airport area the perform guarante may take the form of a cash bond insur or bank guarante of up to of the valu of the contract in complex contract it can go up to of the valu of the contract,A,9.1881695,12.532661
22,INFRAERO's Internal Bidding and Contract Regulation,a perform guarante may be requir by infraero for procur of good work and servic a well a commerci lea of airport area the perform guarante may take the form of a cash bond insur or bank guarante of up to of the valu of the contract in complex contract it can go up to of the valu of the contract,A,9.154201,12.559299
23,INFRAERO's Internal Bidding and Contract Regulation,except instead of the perform guarante infraero may request the deposit of an amount up to of the offer price or the estim valu of the contract,A,10.146417,11.726824
24,INFRAERO's Internal Bidding and Contract Regulation,except instead of the perform guarante infraero may request the deposit of an amount up to of the offer price or the estim valu of the contract,A,10.109213,11.65997
25,Decree 7624/2011 - Concession of airports,in case of concess grant by state or municip anac must approv the possibl of particip of airlin in the concessionair ’ s capit and vice-versa,A,13.65321,8.45536
26,Notice of Auction 2/2011 (second round of airport concession),foreign document must be authent by the brazilian consular offic and translat by a certifi translat,A,14.025208,8.890261
27,Notice of Auction 2/2011 (second round of airport concession),a singl privat entiti may bid for all airport but can not be award more than one airport,A,9.488026,10.947905
28,Notice of Auction 2/2011 (second round of airport concession),foreign compani if not part of a consortium must have a legal repres resid and domicil in brazil whose power is deleg by proxi,A,15.50275,10.343618
29,Notice of Auction 2/2011 (second round of airport concession),airlin and their relat compani can not particip in the auction except in a consortium with a maximum stake of and without particip in corpor govern,A,12.449832,13.4573
30,Notice of Auction 2/2011 (second round of airport concession),a parent compani or relat compani to an airlin at the same time relat to public entiti either foreign or brazilian may particip with a maximum stake in a consortium,A,12.443829,13.467146
31,Notice of Auction 2/2011 (second round of airport concession),bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante bsb at least brl vcp at least brl gru at least brl,A,15.148188,13.228504
32,Notice of Auction 2/2011 (second round of airport concession),bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante bsb at least brl vcp at least brl gru at least brl,A,15.173565,13.209235
33,Notice of Auction 2/2011 (second round of airport concession),bidder must submit a statement issu by a financi institut on the econom viabil of the offer,A,15.031253,4.8468814
34,Notice of Auction 2/2011 (second round of airport concession),bidder must submit a statement issu by a financi institut on the econom viabil of the offer,A,15.032255,4.8587418
35,Notice of Auction 2/2011 (second round of airport concession),foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,A,15.562852,10.586658
36,Notice of Auction 2/2011 (second round of airport concession),foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,A,15.556045,10.576004
37,Notice of Auction 2/2011 (second round of airport concession),the bidder or one member of a consortium must prove a 5-year experi a airport oper have handl at least million passeng at least year in the previou year the airport oper must hold at least stake in the consortium,A,10.924259,13.753439
38,Notice of Auction 2/2011 (second round of airport concession),the sharehold of the concessionair must not particip either directli or indirectli in the vote capit of airlin except in a stake lower than and without particip in corpor govern,A,12.437245,13.455776
39,Notice of Auction 2/2011 (second round of airport concession),ani chang to the sharehold ’ agreement is subject to approv by anac,A,13.661174,7.9489846
40,Notice of Auction 2/2011 (second round of airport concession),minimum capit requir paid by infraero bsb brl 000.00 vcp brl 000.00 gru brl 000.00,A,16.060024,12.233632
41,Notice of Auction 2/2011 (second round of airport concession),minimum capit requir paid by infraero bsb brl 000.00 vcp brl 000.00 gru brl 000.00,A,16.049658,12.236453
42,Notice of Auction 2/2011 (second round of airport concession),mandatori requir of share to infraero,A,13.760226,6.9552455
43,Notice of Auction 2/2011 (second round of airport concession),the win group must have a perform guarante for stage 1-b airport expans bsb brl vcp brl gru brl,A,15.738527,13.271932
44,Notice of Auction 2/2011 (second round of airport concession),the win group must have a perform guarante for stage 1-b airport expans bsb brl vcp brl gru brl,A,15.678635,13.241628
45,Concession Contract - São Paulo/Guarulhos International Airport,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract,A,11.052816,12.486014
46,Concession Contract - São Paulo/Guarulhos International Airport,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract,A,10.995059,12.388119
47,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid annual correspond to the minimum price the bidder 's premium and ii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu,A,-5.0660295,5.054547
48,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid annual correspond to the minimum price the bidder 's premium and ii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu,A,-5.066033,5.0543637
49,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair must publish a report with inform on the concess especi statist data on traffic and passeng,C,10.649177,8.760472
50,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair must not enter into a contract with it relat parti for the exploit of econom activ gener non-tariff revenu at the airport,A,19.846006,15.446678
51,Concession Contract - São Paulo/Guarulhos International Airport,minimum capit requir paid by infraero gru brl 000.00,A,16.040972,12.238531
52,Concession Contract - São Paulo/Guarulhos International Airport,minimum capit requir paid by infraero gru brl 000.00,A,16.046406,12.232742
53,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair is requir to maintain a perform guarante in the form of a cash bond public-debt secur insur or bank guarante,A,14.311042,15.897717
54,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair is requir to maintain a perform guarante in the form of a cash bond public-debt secur insur or bank guarante,A,14.305832,15.895089
55,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair is free to set the tariff if in accord to the price-cap and if base on object and non-discriminatori criterion,B,8.6472025,5.2127666
56,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair is free to set the tariff if in accord to the price-cap and if base on object and non-discriminatori criterion,B,8.677562,5.2258487
57,Concession Contract - São Paulo/Guarulhos International Airport,sharehold must not conclud ani sharehold ’ agreement except for the one with infraero whose conclus is requir by the notic of auction,A,13.564919,7.961685
58,Concession Contract - São Paulo/Guarulhos International Airport,merger acquisit de-merg or reduct of capit of the concessionair is subject to approv by anac and cade if applic,A,16.320076,9.114145
59,Concession Contract - São Paulo/Guarulhos International Airport,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair,A,9.067359,12.781556
60,Concession Contract - São Paulo/Guarulhos International Airport,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair,A,9.082145,12.77616
61,Concession Contract - São Paulo/Guarulhos International Airport,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair,A,9.060612,12.785229
62,Concession Contract - São Paulo/Guarulhos International Airport,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac,A,9.596679,15.114229
63,Concession Contract - São Paulo/Guarulhos International Airport,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac,A,9.623005,15.087758
64,Concession Contract - São Paulo/Guarulhos International Airport,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac,A,9.640342,15.063063
65,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair may enter into agreement with third parti air carrier ground handl provid or other firm for lea airport area these agreement are govern by privat law,A,6.8227277,10.611813
66,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair may enter into agreement with third parti air carrier ground handl provid or other firm for lea airport area these agreement are govern by privat law,A,6.848399,10.636312
67,Concession Contract - São Paulo/Guarulhos International Airport,the concessionair may enter into contract with airlin provid the build mainten or use of airport termin or part thereof either exclus or with prioriti,A,19.370642,6.688419
68,Concession Contract - São Paulo/Guarulhos International Airport,if the price of lea of airport oper area is not set on object and non-discriminatori criterion anac may regul price through price-cap revenue-cap or other method after a public consult,B,8.666495,5.2132645
69,Concession Contract - São Paulo/Guarulhos International Airport,in case of shortag of area for new entrant to provid ground handl servic the concessionair must requir anac ’ s authoris to restrict the number of provid anac may establish the minimum number of provid,A,8.449217,28.532375
70,Concession Contract - São Paulo/Guarulhos International Airport,in case of shortag of area for new entrant to provid ground handl servic the concessionair must requir anac ’ s authoris to restrict the number of provid anac may establish the minimum number of provid,A,8.439653,28.51637
71,Concession Contract - São Paulo/Guarulhos International Airport,in case of shortag of area for the current ground handl incumb firm the concessionair must requir anac ’ s authoris to reduc the number of provid anac may establish the minimum number of provid,A,8.509397,28.47537
72,Concession Contract - São Paulo/Guarulhos International Airport,in case of shortag of area for the current ground handl incumb firm the concessionair must requir anac ’ s authoris to reduc the number of provid anac may establish the minimum number of provid,A,8.467624,28.512466
73,Concession Contract - São Paulo/Guarulhos International Airport,in case of ground handl servic whose complex cost or environment impact doe not allow of divis or duplic of the infrastructur the concessionair must request anac ’ s authoris to provid thi servic exclus,A,11.86867,5.0534706
74,Concession Contract - São Paulo/Guarulhos International Airport,in case of ground handl servic whose complex cost or environment impact doe not allow of divis or duplic of the infrastructur the concessionair must request anac ’ s authoris to provid thi servic exclus,A,11.877611,5.0606413
75,Notice of Auction 1/2013 (third round of airport concession),foreign document must be authent by the brazilian consular offic and translat by a certifi translat,A,14.032105,8.893755
76,Notice of Auction 1/2013 (third round of airport concession),a singl privat entiti may bid for all airport but can not be award more than one airport,A,9.59109,11.01444
77,Notice of Auction 1/2013 (third round of airport concession),sharehold of the concessionair of the airport award in the second “ round ” and their relat compani must not particip in the auction except in a consortium with a maximum stake of and without particip in corpor govern,A,12.394812,13.476128
78,Notice of Auction 1/2013 (third round of airport concession),foreign compani if not part of a consortium must have a legal repres resid and domicil in brazil whose power is deleg by proxi,A,15.537647,10.324897
79,Notice of Auction 1/2013 (third round of airport concession),airlin and their relat compani can not particip in the auction except in a consortium with a maximum stake of and without particip in corpor govern,A,12.446965,13.469996
80,Notice of Auction 1/2013 (third round of airport concession),bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante gig at least brl cnf at least brl,A,15.135676,13.217325
81,Notice of Auction 1/2013 (third round of airport concession),bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante gig at least brl cnf at least brl,A,15.148579,13.225554
82,Notice of Auction 1/2013 (third round of airport concession),bidder must submit a statement issu by a financi institut on the econom viabil of the offer,A,15.052408,4.838953
83,Notice of Auction 1/2013 (third round of airport concession),bidder must submit a statement issu by a financi institut on the econom viabil of the offer,A,14.994097,4.8811297
84,Notice of Auction 1/2013 (third round of airport concession),foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,A,15.587449,10.625901
85,Notice of Auction 1/2013 (third round of airport concession),foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,A,15.576683,10.620342
86,Notice of Auction 1/2013 (third round of airport concession),the bidder or one member of a consortium must prove a 5-year experi a airport oper have handl at least i million passeng at least year in the previou year cnf or ii million passeng at least year in the previou year gig the airport oper must hold at least stake in the consortium,A,10.905832,13.69312
87,Notice of Auction 1/2013 (third round of airport concession),the sharehold of the concessionair must not particip either directli or indirectli in the vote capit of airlin except in a stake lower than and without particip in corpor govern,A,12.423621,13.434878
88,Notice of Auction 1/2013 (third round of airport concession),minimum capit requir paid by infraero gig brl 000.00 cnf brl 000.00,A,16.06234,12.223726
89,Notice of Auction 1/2013 (third round of airport concession),minimum capit requir paid by infraero gig brl 000.00 cnf brl 000.00,A,16.053495,12.233622
90,Notice of Auction 1/2013 (third round of airport concession),mandatori requir of share to infraero,A,13.745647,6.955492
91,Notice of Auction 1/2013 (third round of airport concession),the win group must have a perform guarante for stage 1-b airport expans gig brl cnf brl,A,15.761059,13.291189
92,Notice of Auction 1/2013 (third round of airport concession),the win group must have a perform guarante for stage 1-b airport expans gig brl cnf brl,A,15.748087,13.285088
93,Concession Contract - Rio de Janeiro/Galeão International Airport,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract,A,11.046653,12.467876
94,Concession Contract - Rio de Janeiro/Galeão International Airport,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract,A,11.108911,12.493613
95,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid annual correspond to the minimum price the bidder 's premium and ii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu,A,-5.086803,5.033586
96,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid annual correspond to the minimum price the bidder 's premium and ii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu,A,-5.065814,5.0545697
97,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair must publish a report with inform on the concess especi statist data on traffic and passeng,C,10.649721,8.77284
98,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair must not enter into a contract with it relat parti for the exploit of econom activ gener non-tariff revenu at the airport,A,19.845621,15.445809
99,Concession Contract - Rio de Janeiro/Galeão International Airport,minimum capit requir paid by infraero gig brl 000.00,A,16.070232,12.2165785
100,Concession Contract - Rio de Janeiro/Galeão International Airport,minimum capit requir paid by infraero gig brl 000.00,A,16.042894,12.226392
101,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair is requir to maintain a perform guarante in the form of a cash bond public-debt secur insur or bank guarante,A,14.30065,15.879918
102,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair is requir to maintain a perform guarante in the form of a cash bond public-debt secur insur or bank guarante,A,14.28855,15.872246
103,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair is free to set the tariff if in accord to the price-cap and if base on object and non-discriminatori criterion,B,8.693451,5.2318873
104,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair is free to set the tariff if in accord to the price-cap and if base on object and non-discriminatori criterion,B,8.670971,5.2208905
105,Concession Contract - Rio de Janeiro/Galeão International Airport,sharehold must not conclud ani sharehold ’ agreement except for the one with infraero whose conclus is requir by the notic of auction,A,13.5731125,7.923045
106,Concession Contract - Rio de Janeiro/Galeão International Airport,merger acquisit de-merg or reduct of capit of the concessionair is subject to approv by anac and cade if applic,A,16.336378,9.111936
107,Concession Contract - Rio de Janeiro/Galeão International Airport,the transfer of share of the technic oper is subject to approv by anac the technic oper is respons for fulfil the technic requir at the auction experi a airport oper,A,14.623815,8.345394
108,Concession Contract - Rio de Janeiro/Galeão International Airport,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second and third round and it sharehold must not becom sharehold of gig concessionair with stake greater than,A,9.063113,12.769301
109,Concession Contract - Rio de Janeiro/Galeão International Airport,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second and third round and it sharehold must not becom sharehold of gig concessionair with stake greater than,A,9.080336,12.767334
110,Concession Contract - Rio de Janeiro/Galeão International Airport,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second and third round and it sharehold must not becom sharehold of gig concessionair with stake greater than,A,9.065557,12.736461
111,Concession Contract - Rio de Janeiro/Galeão International Airport,after the first five year transfer of more than stake to the sharehold of the concessionair of the other airport of the second and third round is subject to prior approv by anac share transfer involv an increas of airlin stake is subject to prior approv by anac,A,9.638447,15.059615
112,Concession Contract - Rio de Janeiro/Galeão International Airport,after the first five year transfer of more than stake to the sharehold of the concessionair of the other airport of the second and third round is subject to prior approv by anac share transfer involv an increas of airlin stake is subject to prior approv by anac,A,9.636194,15.06261
113,Concession Contract - Rio de Janeiro/Galeão International Airport,after the first five year transfer of more than stake to the sharehold of the concessionair of the other airport of the second and third round is subject to prior approv by anac share transfer involv an increas of airlin stake is subject to prior approv by anac,A,9.640289,15.057473
114,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair may enter into agreement with third parti air carrier ground handl provid or other firm for lea airport area these agreement are govern by privat law,A,6.8872156,10.599857
115,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair may enter into agreement with third parti air carrier ground handl provid or other firm for lea airport area these agreement are govern by privat law,A,6.8182793,10.607315
116,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair may enter into contract with airlin provid the build mainten or use of airport termin or part thereof either exclus or with prioriti these contract are subject to prior approv by anac,A,19.372551,6.6880403
117,Concession Contract - Rio de Janeiro/Galeão International Airport,the concessionair may enter into contract with airlin provid the build mainten or use of airport termin or part thereof either exclus or with prioriti these contract are subject to prior approv by anac,A,19.372795,6.6876836
118,Concession Contract - Rio de Janeiro/Galeão International Airport,if the price of lea of airport oper area is not set on object and non-discriminatori criterion anac may regul price through price-cap revenue-cap or other method after a public consult,B,8.674694,5.2235026
119,Concession Contract - Rio de Janeiro/Galeão International Airport,in case of shortag of area for new entrant to provid ground handl servic the concessionair must requir anac ’ s authoris to restrict the number of provid anac may establish the minimum number of provid,A,8.448726,28.534689
120,Concession Contract - Rio de Janeiro/Galeão International Airport,in case of shortag of area for new entrant to provid ground handl servic the concessionair must requir anac ’ s authoris to restrict the number of provid anac may establish the minimum number of provid,A,8.426089,28.512444
121,Concession Contract - Rio de Janeiro/Galeão International Airport,in case of shortag of area for the current ground handl incumb firm the concessionair must requir anac ’ s authoris to reduc the number of provid anac may establish the minimum number of provid,A,8.458122,28.527466
122,Concession Contract - Rio de Janeiro/Galeão International Airport,in case of shortag of area for the current ground handl incumb firm the concessionair must requir anac ’ s authoris to reduc the number of provid anac may establish the minimum number of provid,A,8.476458,28.520237
123,Concession Contract - Rio de Janeiro/Galeão International Airport,in case of ground handl servic whose complex cost or environment impact doe not allow of divis or duplic of the infrastructur the concessionair must request anac ’ s authoris to provid thi servic exclus,A,11.8782625,5.0623717
124,Concession Contract - Rio de Janeiro/Galeão International Airport,in case of ground handl servic whose complex cost or environment impact doe not allow of divis or duplic of the infrastructur the concessionair must request anac ’ s authoris to provid thi servic exclus,A,11.873714,5.0577893
125,Notice of Auction 1/2016 (fourth round of airport concession),foreign document must be authent by the brazilian consular offic or may be apostil if the foreign countri is parti to the apostil convent and translat by a certifi translat,A,13.902781,9.038586
126,Notice of Auction 1/2016 (fourth round of airport concession),a singl privat entiti may bid for all airport but can not be award more than one airport at each region,A,9.55548,10.970824
127,Notice of Auction 1/2016 (fourth round of airport concession),foreign compani if not part of a consortium must have a legal repres resid and domicil in brazil whose power is deleg by proxi,A,15.529106,10.336682
128,Notice of Auction 1/2016 (fourth round of airport concession),airlin and their relat compani can not particip in the auction except in a consortium with a maximum stake of and without particip in corpor govern,A,12.476432,13.487197
129,Notice of Auction 1/2016 (fourth round of airport concession),bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante poa at least brl ssa at least brl fln at least brl for at least brl,A,15.173048,13.210812
130,Notice of Auction 1/2016 (fourth round of airport concession),bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante poa at least brl ssa at least brl fln at least brl for at least brl,A,15.17037,13.207933
131,Notice of Auction 1/2016 (fourth round of airport concession),bidder must submit a statement issu by a financi institut on the econom viabil of the offer,A,15.060592,4.8279443
132,Notice of Auction 1/2016 (fourth round of airport concession),bidder must submit a statement issu by a financi institut on the econom viabil of the offer,A,15.024609,4.8641725
133,Notice of Auction 1/2016 (fourth round of airport concession),foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,A,15.534519,10.601855
134,Notice of Auction 1/2016 (fourth round of airport concession),foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,A,15.522852,10.559312
135,Notice of Auction 1/2016 (fourth round of airport concession),the bidder or one member of a consortium must prove a 5-year experi a airport oper have handl at least i million passeng at least year in the last year ssa and poa ii million passeng at least year in the last year for or iii million passeng at least year in the last year fln the airport oper must hold at least stake in the consortium,A,10.917789,13.736386
136,Notice of Auction 1/2016 (fourth round of airport concession),the sharehold of the concessionair must not particip either directli or indirectli in the vote capit of airlin except in a stake lower than and without particip in corpor govern,A,12.467272,13.443258
137,Notice of Auction 1/2016 (fourth round of airport concession),after the first five year of the concess the particip of the concessionair ’ s sharehold in the vote capit of airlin will be subject to prior approv by anac,A,11.169033,13.852661
138,Notice of Auction 1/2016 (fourth round of airport concession),minimum capit requir poa fix fee to be paid at the time of sign the contract brl 696.00 ssa fix fee to be paid at the time of sign the contract brl 701.00 fln fix fee to be paid at the time of sign the contract brl 972.00 for fix fee to be paid at the time of sign the contract brl 807.00,A,14.444678,11.600957
139,Notice of Auction 1/2016 (fourth round of airport concession),minimum capit requir poa fix fee to be paid at the time of sign the contract brl 696.00 ssa fix fee to be paid at the time of sign the contract brl 701.00 fln fix fee to be paid at the time of sign the contract brl 972.00 for fix fee to be paid at the time of sign the contract brl 807.00,A,14.478171,11.6286745
140,Notice of Auction 1/2016 (fourth round of airport concession),the win group must have a perform guarante for stage 1-b airport expans poa brl ssa brl fln brl for brl,A,15.721252,13.267831
141,Notice of Auction 1/2016 (fourth round of airport concession),the win group must have a perform guarante for stage 1-b airport expans poa brl ssa brl fln brl for brl,A,15.711119,13.2501745
142,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract,A,11.073585,12.473805
143,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract,A,11.084674,12.49643
144,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid at the time of sign the contract correspond to of the minimum price the bidder 's premium ii a fix fee must be paid annual from the 6th year of the contract correspond to of the minimum price the bidder 's premium and iii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu,A,-5.055558,5.064741
145,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid at the time of sign the contract correspond to of the minimum price the bidder 's premium ii a fix fee must be paid annual from the 6th year of the contract correspond to of the minimum price the bidder 's premium and iii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu,A,-5.0485277,5.071742
146,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,the concessionair must publish a report with inform on the concess especi statist data on aircraft passeng and cargo traffic a well a the amount collect with airport tariff,C,10.566565,8.907828
147,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,the concessionair must not enter into a contract with it relat parti for the exploit of econom activ gener non-tariff revenu at the airport,A,19.846418,15.446401
