,Law,Text,Category,text_clean,Category_New,A,B,C,Others
21,INFRAERO's Internal Bidding and Contract Regulation,"A performance guarantee may be required by Infraero for procurement of goods, works and services, as well as commercial lease of airport areas. The performance guarantee may take the form of a cash bond, insurance or bank guarantee of up to 5% of the value of the contract (in complex contracts it can go up to 10% of the value of the contract).",A,a perform guarante may be requir by infraero for procur of good work and servic a well a commerci lea of airport area the perform guarante may take the form of a cash bond insur or bank guarante of up to of the valu of the contract in complex contract it can go up to of the valu of the contract,A,0.9622170004648302,0.961356535643885,0.9521537866450832,0.9650550634771148
22,INFRAERO's Internal Bidding and Contract Regulation,"A performance guarantee may be required by Infraero for procurement of goods, works and services, as well as commercial lease of airport areas. The performance guarantee may take the form of a cash bond, insurance or bank guarantee of up to 5% of the value of the contract (in complex contracts it can go up to 10% of the value of the contract).",A,a perform guarante may be requir by infraero for procur of good work and servic a well a commerci lea of airport area the perform guarante may take the form of a cash bond insur or bank guarante of up to of the valu of the contract in complex contract it can go up to of the valu of the contract,A,0.9622170004648302,0.961356535643885,0.9521537866450832,0.9650550634771148
23,INFRAERO's Internal Bidding and Contract Regulation,"Exceptionally, instead of the performance guarantee, Infraero may request the deposit of an amount up to 1% of the offered price or the estimated value of the contract.",A,except instead of the perform guarante infraero may request the deposit of an amount up to of the offer price or the estim valu of the contract,A,0.9397625033963546,0.9408196506995898,0.9334538496876754,0.9397545445509392
24,INFRAERO's Internal Bidding and Contract Regulation,"Exceptionally, instead of the performance guarantee, Infraero may request the deposit of an amount up to 1% of the offered price or the estimated value of the contract.",A,except instead of the perform guarante infraero may request the deposit of an amount up to of the offer price or the estim valu of the contract,A,0.9397625033963546,0.9408196506995898,0.9334538496876754,0.9397545445509392
25,Decree 7624/2011 - Concession of airports,"In case of concessions granted by States or Municipalities, ANAC must approve the possibility of participation of airlines in the concessionaire’s capital and vice-versa.",A,in case of concess grant by state or municip anac must approv the possibl of particip of airlin in the concessionair ’ s capit and vice-versa,A,0.8870427950781592,0.8781893434546169,0.88119868859974,0.8761684139600281
26,Notice of Auction 2/2011 (second round of airport concession),Foreign documents must be authenticated by the Brazilian Consular Office and translated by a certified translator.,A,foreign document must be authent by the brazilian consular offic and translat by a certifi translat,A,0.8409528617399753,0.8331451087403696,0.8429192804529894,0.8311465714402491
27,Notice of Auction 2/2011 (second round of airport concession),"A single private entity may bid for all airports, but cannot be awarded more than one airport.",A,a singl privat entiti may bid for all airport but can not be award more than one airport,A,0.945034740511004,0.9424985114464194,0.9329883407696993,0.9475389160053436
28,Notice of Auction 2/2011 (second round of airport concession),"Foreign companies (if not part of a consortium) must have a legal representative resident and domiciled in Brazil, whose power is delegated by proxy.",A,foreign compani if not part of a consortium must have a legal repres resid and domicil in brazil whose power is deleg by proxi,A,0.9378588973083251,0.9319253371710835,0.9401815109707496,0.924287423311634
29,Notice of Auction 2/2011 (second round of airport concession),"Airlines and their related companies cannot participate in the auction (except in a consortium, with a maximum stake of 2% and without participation in corporate governance).",A,airlin and their relat compani can not particip in the auction except in a consortium with a maximum stake of and without particip in corpor govern,A,0.948772984740927,0.9470234383749867,0.9466095604400051,0.9395724168101383
30,Notice of Auction 2/2011 (second round of airport concession),"A parent company or related company to an airline, at the same time related to public entities (either foreign or Brazilian), may participate with a maximum 20% stake in a consortium.",A,a parent compani or relat compani to an airlin at the same time relat to public entiti either foreign or brazilian may particip with a maximum stake in a consortium,A,0.9414389829821594,0.9427612061848196,0.9427962749107694,0.9399279558085489
31,Notice of Auction 2/2011 (second round of airport concession),"Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
BSB: at least BRL 37 342 000
VCP: at least BRL 90 887 000
GRU: at least BRL 123 870 000",A,bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante bsb at least brl vcp at least brl gru at least brl,A,0.8073874810077253,0.8079001914923288,0.8076106338100453,0.8048544420534616
32,Notice of Auction 2/2011 (second round of airport concession),"Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
BSB: at least BRL 37 342 000
VCP: at least BRL 90 887 000
GRU: at least BRL 123 870 000",A,bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante bsb at least brl vcp at least brl gru at least brl,A,0.8073874810077253,0.8079001914923288,0.8076106338100453,0.8048544420534616
33,Notice of Auction 2/2011 (second round of airport concession),Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A,bidder must submit a statement issu by a financi institut on the econom viabil of the offer,A,0.8561248361194103,0.8489730654883922,0.8600720545931002,0.8510041186145687
34,Notice of Auction 2/2011 (second round of airport concession),Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A,bidder must submit a statement issu by a financi institut on the econom viabil of the offer,A,0.8561248361194103,0.8489730654883922,0.8600720545931002,0.8510041186145687
35,Notice of Auction 2/2011 (second round of airport concession),"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A,foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,A,0.9250559042221393,0.9148128557897816,0.9218325787609287,0.9161039124974788
36,Notice of Auction 2/2011 (second round of airport concession),"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A,foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,A,0.9250559042221393,0.9148128557897816,0.9218325787609287,0.9161039124974788
37,Notice of Auction 2/2011 (second round of airport concession),The bidder (or one member of a consortium) must prove a 5-year experience as airport operator having handled at least 5 million passengers at least 1 year in the previous 10 years. The airport operator must hold at least 10% stake in the consortium.,A,the bidder or one member of a consortium must prove a 5-year experi a airport oper have handl at least million passeng at least year in the previou year the airport oper must hold at least stake in the consortium,A,0.9134845460052614,0.9108279944551136,0.9091157903918154,0.9105639482991856
38,Notice of Auction 2/2011 (second round of airport concession),"The shareholders of the concessionaire must not participate, either directly or indirectly, in the voting capital of airlines, except in a stake lower than 2% and without participation in corporate governance.",A,the sharehold of the concessionair must not particip either directli or indirectli in the vote capit of airlin except in a stake lower than and without particip in corpor govern,A,0.9558501117739866,0.950985935571065,0.9470326438845718,0.9492835548622783
39,Notice of Auction 2/2011 (second round of airport concession),Any change to the shareholders’ agreement is subject to approval by ANAC.,A,ani chang to the sharehold ’ agreement is subject to approv by anac,A,0.8472333348191612,0.8349649108441675,0.8456919776755795,0.8410648980273407
40,Notice of Auction 2/2011 (second round of airport concession),"Minimum capital requirement (49% paid by Infraero):
BSB: BRL 243 251 000.00
VCP: BRL 435 513 000.00
GRU: BRL 543 315 000.00",A,minimum capit requir paid by infraero bsb brl 000.00 vcp brl 000.00 gru brl 000.00,A,0.4462471100681139,0.45177517313194904,0.4548154959220523,0.4505638256790172
41,Notice of Auction 2/2011 (second round of airport concession),"Minimum capital requirement (49% paid by Infraero):
BSB: BRL 243 251 000.00
VCP: BRL 435 513 000.00
GRU: BRL 543 315 000.00",A,minimum capit requir paid by infraero bsb brl 000.00 vcp brl 000.00 gru brl 000.00,A,0.4462471100681139,0.45177517313194904,0.4548154959220523,0.4505638256790172
42,Notice of Auction 2/2011 (second round of airport concession),Mandatory requirement of 49% share to Infraero.,A,mandatori requir of share to infraero,A,0.6713585501879001,0.681833805477138,0.6759158727346064,0.6810053565559517
43,Notice of Auction 2/2011 (second round of airport concession),"The winning group must have a performance guarantee for stage 1-B (airport expansion):
BSB: BRL 266 732 000
VCP: BRL 649 197 000
GRU: BRL 884 853 000",A,the win group must have a perform guarante for stage 1-b airport expans bsb brl vcp brl gru brl,A,0.6478324689724332,0.6433917224082449,0.6479398583352806,0.6467145180158137
44,Notice of Auction 2/2011 (second round of airport concession),"The winning group must have a performance guarantee for stage 1-B (airport expansion):
BSB: BRL 266 732 000
VCP: BRL 649 197 000
GRU: BRL 884 853 000",A,the win group must have a perform guarante for stage 1-b airport expans bsb brl vcp brl gru brl,A,0.6478324689724332,0.6433917224082449,0.6479398583352806,0.6467145180158137
45,Concession Contract - São Paulo/Guarulhos International Airport,"The term of the concession is 20 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract,A,0.9569909574097568,0.9524418052273045,0.9468606814968477,0.9559409213461525
46,Concession Contract - São Paulo/Guarulhos International Airport,"The term of the concession is 20 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract,A,0.9569909574097568,0.9524418052273045,0.9468606814968477,0.9559409213461525
47,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) a fixed fee must be paid annually, corresponding to the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, corresponding to 10% of the concessionaire's annual gross revenue.",A,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid annual correspond to the minimum price the bidder 's premium and ii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu,A,0.8734537335034032,0.8779510920601072,0.8737607964792797,0.8711166361461686
48,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) a fixed fee must be paid annually, corresponding to the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, corresponding to 10% of the concessionaire's annual gross revenue.",A,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid annual correspond to the minimum price the bidder 's premium and ii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu,A,0.8734537335034032,0.8779510920601072,0.8737607964792797,0.8711166361461686
49,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire must publish a report with information on the concession, especially statistical data on traffic and passengers.",C,the concessionair must publish a report with inform on the concess especi statist data on traffic and passeng,C,0.871915643356507,0.8711388048955384,0.8786574947051444,0.8679818403829698
50,Concession Contract - São Paulo/Guarulhos International Airport,The concessionaire must not enter into a contract with its related parties for the exploitation of economic activities (generating non-tariff revenues) at the airport.,A,the concessionair must not enter into a contract with it relat parti for the exploit of econom activ gener non-tariff revenu at the airport,A,0.900890617097724,0.894419820711552,0.9022363135210936,0.8897906374726581
51,Concession Contract - São Paulo/Guarulhos International Airport,Minimum capital requirement (49% paid by Infraero): GRU: BRL 543 315 000.00.,A,minimum capit requir paid by infraero gru brl 000.00,A,0.539904309618336,0.5467018747691367,0.5456320523648491,0.5458279401237501
52,Concession Contract - São Paulo/Guarulhos International Airport,Minimum capital requirement (49% paid by Infraero): GRU: BRL 543 315 000.00.,A,minimum capit requir paid by infraero gru brl 000.00,A,0.539904309618336,0.5467018747691367,0.5456320523648491,0.5458279401237501
53,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A,the concessionair is requir to maintain a perform guarante in the form of a cash bond public-debt secur insur or bank guarante,A,0.914610228233237,0.9166883132093886,0.9123761742926653,0.9066318563392883
54,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A,the concessionair is requir to maintain a perform guarante in the form of a cash bond public-debt secur insur or bank guarante,A,0.914610228233237,0.9166883132093886,0.9123761742926653,0.9066318563392883
55,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire is free to set the tariffs, if in accordance to the price-cap and if based on objective and non-discriminatory criteria.",B,the concessionair is free to set the tariff if in accord to the price-cap and if base on object and non-discriminatori criterion,B,0.9431465383672373,0.9429082890554243,0.9381031098647379,0.933422664506923
56,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire is free to set the tariffs, if in accordance to the price-cap and if based on objective and non-discriminatory criteria.",B,the concessionair is free to set the tariff if in accord to the price-cap and if base on object and non-discriminatori criterion,B,0.9431465383672373,0.9429082890554243,0.9381031098647379,0.933422664506923
57,Concession Contract - São Paulo/Guarulhos International Airport,"Shareholders must not conclude any shareholders’ agreement, except for the one with Infraero (whose conclusion is required by the notice of auction).",A,sharehold must not conclud ani sharehold ’ agreement except for the one with infraero whose conclus is requir by the notic of auction,A,0.9119433237098304,0.9069568855727574,0.9085264415776051,0.9052330689568401
58,Concession Contract - São Paulo/Guarulhos International Airport,"Merger, acquisition, de-merger or reduction of capital of the concessionaire is subject to approval by ANAC and CADE (if applicable).",A,merger acquisit de-merg or reduct of capit of the concessionair is subject to approv by anac and cade if applic,A,0.8524692652240007,0.8429118574325887,0.8563455512569698,0.846592558191136
59,Concession Contract - São Paulo/Guarulhos International Airport,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair,A,0.961398802722822,0.9568334194165897,0.9561711170779919,0.9534911869574305
60,Concession Contract - São Paulo/Guarulhos International Airport,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair,A,0.961398802722822,0.9568334194165897,0.9561711170779919,0.9534911869574305
61,Concession Contract - São Paulo/Guarulhos International Airport,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair,A,0.961398802722822,0.9568334194165897,0.9561711170779919,0.9534911869574305
62,Concession Contract - São Paulo/Guarulhos International Airport,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac,A,0.9322679244936593,0.9246568540073312,0.9212531729477743,0.927996456820062
63,Concession Contract - São Paulo/Guarulhos International Airport,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac,A,0.9322679244936593,0.9246568540073312,0.9212531729477743,0.927996456820062
64,Concession Contract - São Paulo/Guarulhos International Airport,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac,A,0.9322679244936593,0.9246568540073312,0.9212531729477743,0.927996456820062
65,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A,the concessionair may enter into agreement with third parti air carrier ground handl provid or other firm for lea airport area these agreement are govern by privat law,A,0.923787717321203,0.9165393694902728,0.9205024258331682,0.9114038978706124
66,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A,the concessionair may enter into agreement with third parti air carrier ground handl provid or other firm for lea airport area these agreement are govern by privat law,A,0.923787717321203,0.9165393694902728,0.9205024258331682,0.9114038978706124
67,Concession Contract - São Paulo/Guarulhos International Airport,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority.",A,the concessionair may enter into contract with airlin provid the build mainten or use of airport termin or part thereof either exclus or with prioriti,A,0.9441028509196291,0.9386495522756814,0.9321223418052543,0.9411425092259866
68,Concession Contract - São Paulo/Guarulhos International Airport,"If the price of lease of airport operating areas is not set on objective and non-discriminatory criteria, ANAC may regulate prices through price-cap, revenue-cap or other method, after a public consultation.",B,if the price of lea of airport oper area is not set on object and non-discriminatori criterion anac may regul price through price-cap revenue-cap or other method after a public consult,B,0.9466005880688366,0.9503860732593179,0.9456273046348269,0.937920011445498
69,Concession Contract - São Paulo/Guarulhos International Airport,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A,in case of shortag of area for new entrant to provid ground handl servic the concessionair must requir anac ’ s authoris to restrict the number of provid anac may establish the minimum number of provid,A,0.9170945049271702,0.9093830142856896,0.8996252861025849,0.8991940954082247
70,Concession Contract - São Paulo/Guarulhos International Airport,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A,in case of shortag of area for new entrant to provid ground handl servic the concessionair must requir anac ’ s authoris to restrict the number of provid anac may establish the minimum number of provid,A,0.9170945049271702,0.9093830142856896,0.8996252861025849,0.8991940954082247
71,Concession Contract - São Paulo/Guarulhos International Airport,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A,in case of shortag of area for the current ground handl incumb firm the concessionair must requir anac ’ s authoris to reduc the number of provid anac may establish the minimum number of provid,A,0.9343984827972807,0.927198778504011,0.9225178680240534,0.9139204502924265
72,Concession Contract - São Paulo/Guarulhos International Airport,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A,in case of shortag of area for the current ground handl incumb firm the concessionair must requir anac ’ s authoris to reduc the number of provid anac may establish the minimum number of provid,A,0.9343984827972807,0.927198778504011,0.9225178680240534,0.9139204502924265
