,Law,Text,Category,Category_New,text_clean,A,B,C,Others
10,Ordinance by Ports Secretariat 111/2013 - Ports Administration,It is a condition for maintaining the Port Operator's Certificate that the port operator is regular with the pool of port workers throughout the validity period of the certification.,A,A,it is a condit for maintain the port oper 's certif that the port oper is regular with the pool of port worker throughout the valid period of the certif,0.650809119675239,0.6531821728065723,0.6393164652683863,0.6820320667384508
11,Notice of Auction 2/2011 (second round of airport concession),Foreign documents must be authenticated by the Brazilian Consular Office and translated by a certified translator.,A,A,foreign document must be authent by the brazilian consular offic and translat by a certifi translat,0.5481415095476445,0.5230335934152165,0.5447401489148849,0.5026657364889296
12,Notice of Auction 1/2020 (sixth round of airport concession),"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A,A,foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ,0.6734968138392954,0.6326219810047142,0.6202925332913045,0.6037885887158355
13,Resolution 18/2006 by National Petroleum Agency - Fuel,Each agency of the firm needs an authorisation from ANP to operate in the aviation fuels retail market. The authorisation must be published in the Official Gazette of the Federal Government Branch.,A,A,each agenc of the firm need an authoris from anp to oper in the aviat fuel retail market the authoris must be publish in the offici gazett of the feder govern branch,0.6955697950196678,0.741181664261938,0.7566376497080012,0.6737041260916785
14,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"cal and financial schedule, linked to the application of financial resources in the production of vessel, such as cutting plates and building blocks; at the end of the second year with at least 40% (forty percent) of the production of the built vessel, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation greater than 20% (twenty percent) of the physical and financial schedule.",AAdministrativeburden,Others,cal and financi schedul link to the applic of financi resourc in the product of vessel such a cut plate and build block at the end of the second year with at least forti percent of the product of the built vessel except for reason of forc majeur recogn by antaq no accumul delay except for reason of forc majeur recogn by antaq with a variat greater than twenti percent of the physic and financi schedul,0.7086592972923937,0.7321296897975567,0.6920008417195079,0.7363812733291676
15,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"(b) At the end of the second year, with at least 40 per cent (40 per cent) of the production of the built ship, except for the causes of force majeure recognized by ANTAQ;",AAdministrativeburden,Others,b at the end of the second year with at least per cent per cent of the product of the built ship except for the caus of forc majeur recogn by antaq,0.6571721868853788,0.6789558711438402,0.6643277776775396,0.6641055796374151
16,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,", related to the implementation of financial resources in the production of vessels, such as cutting plates and construction elements; at the end of the second year with at least 40% (poor percentage) of the production of the built vessel, except for the reasons for the force recognised by ANTAQ; no delay, except for the reasons for the force recognised by ANTAQ, with a deviation of more than 20% (twenty per cent) from the physical and financial timetable.",AAdministrativeburden,Others,relat to the implement of financi resourc in the product of vessel such a cut plate and construct element at the end of the second year with at least poor percentag of the product of the built vessel except for the reason for the forc recognis by antaq no delay except for the reason for the forc recognis by antaq with a deviat of more than twenti per cent from the physic and financi timet,0.7384739938003975,0.7569250845835225,0.7143342996045156,0.7510362965798916
17,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"at the end of the second year with at least 40% (ty percent) of the production of the built-up vessel, with the exception of the force majeure recognised by ANTAQ; no accumulated delay, except for reasons of force majeure recognised by ANTAQ, with a deviation of more than 20% (twenty percent) of the physical and financial timetable.",AAdministrativeburden,Others,at the end of the second year with at least ty percent of the product of the built-up vessel with the except of the forc majeur recognis by antaq no accumul delay except for reason of forc majeur recognis by antaq with a deviat of more than twenti percent of the physic and financi timet,0.6764158619031841,0.6908754505250799,0.6676581949409681,0.7182545898672175
18,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"There is no accumulated delay, except due to force majeure recognised by ANTAQ, with a variation of more than 20% (wenty percent) of the physical and financial schedule.",AAdministrativeburden,Others,there is no accumul delay except due to forc majeur recognis by antaq with a variat of more than wenti percent of the physic and financi schedul,0.6537172345042439,0.6473138938045352,0.6111188571214761,0.6728761210149136
19,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"• a financial and financial schedule relating to the use of financial resources in the production of ships, such as cutting plates and building blocks; at the end of the second year at least 40% (forty per cent) of the production of the built vessel, except for force majeure recognised by ANTAQ; no cumulative delay, except for force majeure recognised by ANTAQ, with a variation of more than 20% (20 per cent) of the physical and financial schedule.",AAdministrativeburden,Others,• a financi and financi schedul relat to the use of financi resourc in the product of ship such a cut plate and build block at the end of the second year at least forti per cent of the product of the built vessel except for forc majeur recognis by antaq no cumul delay except for forc majeur recognis by antaq with a variat of more than per cent of the physic and financi schedul,0.7353420159860532,0.7609591723169034,0.7239671210091541,0.7679334253023693
20,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"• Economic and financial timetables relating to the use of economic resources for the production of a vessel, such as cutting boards and building blocks; at the end of the second year at least 40 % (40 %) of the production of a ship built, with the exception of force majeure recognised by AttaQ; there were no delays, with the exception of force majeures recognised by AttaQ, with a variation of more than 20 % (twenty %) of the physical and financial timetable.",AAdministrativeburden,Others,• econom and financi timet relat to the use of econom resourc for the product of a vessel such a cut board and build block at the end of the second year at least of the product of a ship built with the except of forc majeur recognis by attaq there were no delay with the except of forc majeur recognis by attaq with a variat of more than twenti of the physic and financi timet,0.7677639776087855,0.7639589067481798,0.7435621984880734,0.7913971351751427
21,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The financial schedule, linked to the application of financial resources in the production of ships, such as cutting plates and building blocks; at the end of the second year with at least 40% (forty per cent) of the production of the constructed vessel, except for force majeure reasons recognized by ANTAQ; no accumulated delay, except for force majeure reasons recognized by ANTAQ, with a variation of more than 20 per cent (eight per cent) of the physical and financial schedule.",AAdministrativeburden,Others,the financi schedul link to the applic of financi resourc in the product of ship such a cut plate and build block at the end of the second year with at least forti per cent of the product of the construct vessel except for forc majeur reason recogn by antaq no accumul delay except for forc majeur reason recogn by antaq with a variat of more than per cent eight per cent of the physic and financi schedul,0.6709517667039178,0.7068156537637502,0.6690478140740816,0.722909224737408
22,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"PRESIDENT. — The next item is the joint debate on the report (Doc. A 2-215/88) by Mr De Clercq, on behalf of the Committee on Economic and Monetary Affairs and Industrial Policy, on the proposal from the Commission to the Council (COM(88) 331 final — Doc.",AAdministrativeburden,Others,presid — the next item is the joint debat on the report doc a 2-215/88 by mr de clercq on behalf of the committe on econom and monetari affair and industri polici on the propos from the commiss to the council com final — doc,0.478508818290555,0.47512977750705754,0.5056604400708061,0.5046636273546112
23,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"(Applause.) At the end of the second year of construction work, at the end of at least 40% for building, but apart from the causes of control, there's no delay, but because of power force, more than one change has been recognized, that for more than twenty percent of time, and more than twenty percent for a physical unit.",AAdministrativeburden,Others,applaus at the end of the second year of construct work at the end of at least for build but apart from the caus of control there 's no delay but becaus of power forc more than one chang ha been recogn that for more than twenti percent of time and more than twenti percent for a physic unit,0.711329436849251,0.7143793375793945,0.6883219708462945,0.7357051344671008
24,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"For example, the financial support must be asked to connect to certain ways of financial support and the type of 20 years on the end of the year (i.g. the following).",AAdministrativeburden,Others,for exampl the financi support must be ask to connect to certain way of financi support and the type of year on the end of the year i.g the follow,0.6045173938708851,0.5917692124977239,0.5737042405878665,0.6636932637379449
25,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"Ethnic cal and financial schedules, associated with the application of financial resources in the production of ships, such as plate cuts and building blocks; at the end of the second year with at least 40% (for 40 percent) the production of ships that were built, except for the reasons of the majeure being recognized by ANTAQ, did not accumulate delays, except for the force recognized by ANTAQ, with greater variations of 20% (twenty percent) of the physical and financial schedules.",AAdministrativeburden,Others,ethnic cal and financi schedul associ with the applic of financi resourc in the product of ship such a plate cut and build block at the end of the second year with at least for percent the product of ship that were built except for the reason of the majeur be recogn by antaq did not accumul delay except for the forc recogn by antaq with greater variat of twenti percent of the physic and financi schedul,0.6982889607561963,0.7355744544213944,0.6884418142972176,0.7456859593876326
26,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The financial and financial programme, linked to the application of financial resources in the production of ships, such as the cutting of slabs and building blocks; at the end of the second year with at least 40% (forty per cent) of the production of the built ship, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation greater than 20% (twenty per cent) of the physical and financial program.",AAdministrativeburden,Others,the financi and financi programm link to the applic of financi resourc in the product of ship such a the cut of slab and build block at the end of the second year with at least forti per cent of the product of the built ship except for reason of forc majeur recogn by antaq no accumul delay except for reason of forc majeur recogn by antaq with a variat greater than twenti per cent of the physic and financi program,0.714231625623003,0.752077264434343,0.7175751477611514,0.761170422864943
27,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"• Coil and financial schedule relating to the use of financial resources in the production of ships, such as cutting plates and building blocks; at the end of the second year, at least 40 per cent (forty per cent) of the production of constructed vessels, with the exception of force majeure circumstances recognized by ANTAC; except for force majeure, there were no delays, with the exception of force majeure, with a deviation of more than 20 per cent (twenty per cent) from the physical and financial schedule.",AAdministrativeburden,Others,• coil and financi schedul relat to the use of financi resourc in the product of ship such a cut plate and build block at the end of the second year at least per cent forti per cent of the product of construct vessel with the except of forc majeur circumst recogn by antac except for forc majeur there were no delay with the except of forc majeur with a deviat of more than per cent twenti per cent from the physic and financi schedul,0.7137482995980482,0.7430556268684788,0.7095295699973503,0.7417694495361151
28,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"Cal and financial calendar, linked to the application of financial resources in the production of ships, such as cutting plates and building blocks; at the end of the second year with at least 40% (40 percent) of the production of the ship constructed, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation of more than 20% (twenty percent) of the physical and financial calendar.",AAdministrativeburden,Others,cal and financi calendar link to the applic of financi resourc in the product of ship such a cut plate and build block at the end of the second year with at least percent of the product of the ship construct except for reason of forc majeur recogn by antaq no accumul delay except for reason of forc majeur recogn by antaq with a variat of more than twenti percent of the physic and financi calendar,0.6765208220062986,0.7051223835136935,0.670007819260727,0.7410517478734108
29,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"Φ At the end of the second year with at least 40% (40%) of the production of the built vessel, except for force majeure recognised by ANTAQ; no accumulated delay, except due to force majeure recognised by ANTAQ, with a variation greater than 20% (twenty percent) of the physical and financial schedule.",AAdministrativeburden,Others,φ at the end of the second year with at least of the product of the built vessel except for forc majeur recognis by antaq no accumul delay except due to forc majeur recognis by antaq with a variat greater than twenti percent of the physic and financi schedul,0.6922046247526993,0.6942364086312711,0.6603832921087329,0.6939197417339997
30,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The sludge and the financial plan, combined with the use of financial resources in the production of vessels such as dividing boards and building blocks; at the end of the second year with at least 40% (forty per cent) of the production of the built vessel, except for reasons of force majeure recognised by ANTAQ; no accumulated delay, except for reasons of force majeure recognised by ANTAQ, with a variation of more than 20% (twenty per cent) of the physical and financial plan.",AAdministrativeburden,Others,the sludg and the financi plan combin with the use of financi resourc in the product of vessel such a divid board and build block at the end of the second year with at least forti per cent of the product of the built vessel except for reason of forc majeur recognis by antaq no accumul delay except for reason of forc majeur recognis by antaq with a variat of more than twenti per cent of the physic and financi plan,0.7352507259101798,0.7513375732849596,0.7300892435822726,0.7352313986305147
31,Decree 2.256/1997 Brazilian Special Registry,"The financing to the Brazilian shipping company, through an official financial agent, to finance a vessel pre-registered with REB, will have an interest rate similar to that of the vessel for export, to be equalised by the Merchant Marine Fund. The same conditions are established for conversion, modernisation and repair.",A,A,the financ to the brazilian ship compani through an offici financi agent to financ a vessel pre-regist with reb will have an interest rate similar to that of the vessel for export to be equalis by the merchant marin fund the same condit are establish for convers modernis and repair,0.7047591715722404,0.7510547320044716,0.7325151290235046,0.7320507179149124
32,Reglamento de Insumos para la Salud,The importation of biological and blood-related products produced abroad requires an authorisation from the Ministry of Health. The requirements are summarised at: www.gob.mx/tramites/ficha/permiso-sanitario-de-importacion-de-medicamentos-con-registro- sanitario/COFEPRIS689.,A,A,the import of biolog and blood-rel product produc abroad requir an authoris from the ministri of health the requir are summaris at www.gob.mx/tramites/ficha/permiso-sanitario-de-importacion-de-medicamentos-con-registro- sanitario/cofepris689,0.6256620939388043,0.6241660837169543,0.6451365962074803,0.571068594327409
33,Resolution 18/2006 by National Petroleum Agency - Fuel,"Tied (branding) or independent resellers must only deliver aviation fuels: (i) directly on the aircraft tank; (ii) at a supply point facility, with an environmental licence issued by the competent body; or (iii) in containers or drums, as long as the consumer demonstrates the product will supply an aircraft registered by the competent body.",A,A,tie brand or independ resel must onli deliv aviat fuel i directli on the aircraft tank ii at a suppli point facil with an environment licenc issu by the compet bodi or iii in contain or drum a long a the consum demonstr the product will suppli an aircraft regist by the compet bodi,0.6947810197935012,0.734120496954896,0.7267589360876412,0.705398394471521
34,Regulation (RBAC) 141/2019 by National Civil Aviation Agency – Civil aviation schools,ANAC may accredit examiners from a civil aviation instruction centre (CIAC) to give practical tests.,A,A,anac may accredit examin from a civil aviat instruct centr ciac to give practic test,0.6289810068998625,0.5851656061452045,0.5966475308138991,0.5425010084675499
35,Resolution 192/2011 by National Civil Aviation Agency - Concessions,"The authorization for the presentation of projects, studies, surveys or investigations: will not by itself create any right to compensation for the amounts involved in its elaboration; and",None,None,the author for the present of project studi survey or investig will not by itself creat ani right to compens for the amount involv in it elabor and,0.8207029730406412,0.7550274387763933,0.7572123700463822,0.7027760437605389
36,Law 7565/1986 - Brazilian Aeronautical Code,"Foreign airworthiness certificates that meet the requirements provided for in the regulation mentioned in the previous paragraph, and the internationally accepted conditions, may be validated.",None,None,foreign airworthi certif that meet the requir provid for in the regul mention in the previou paragraph and the intern accept condit may be valid,0.6587325661390101,0.6101640522752665,0.6177150111637524,0.5934546240532994
37,Decree Law  270/1967 - Air Fund,There will be a public tender for leasing airport areas for provision of services to the general public of the airport.,A,A,there will be a public tender for lea airport area for provis of servic to the gener public of the airport,0.7034375476924997,0.684333991494727,0.6669114645077365,0.6578867571087045
38,State transport documents,"Thus, transport documents constitute an unnecessary double control.",A,A,thu transport document constitut an unnecessari doubl control,0.6137611756304986,0.5860840265513372,0.6247189600430899,0.567518762094172
39,Decree 70198/1972 - tax for the use of the lighthouse,"Foreign ships that demand the use of Brazilian ports, coming from foreign or national ports, with cargo or ballast, carrying passengers or not, are obliged to pay the tariff for the use of lighthouses.",A,A,foreign ship that demand the use of brazilian port come from foreign or nation port with cargo or ballast carri passeng or not are oblig to pay the tariff for the use of lighthous,0.6746858541561129,0.7113833652670836,0.7000996495889644,0.737648586171438
40,Law 5862/1972 - Infraero,"X - to enter into contracts and agreements with agencies of the Direct and Indirect Administration of the Ministry of Aeronautics, to provide specialized technical services;",None,None,x to enter into contract and agreement with agenc of the direct and indirect administr of the ministri of aeronaut to provid special technic servic,0.6696600304491003,0.6375302553185882,0.6719114850781642,0.6360573070295985
41,Decree 92319/1986 - Foreign air transport companies,"Instead of setting up of agencies, branches or subsidiaries, foreign companies not operating in the country may designate a Brazilian company as a general representative in Brazil, which needs an authorisation to operate from the Ministry of Aeronautics [today, ANAC]. The request must attach the following documents: (a) the company’s bylaws and (b) the contract of representation, translated into Portuguese.",A,A,instead of set up of agenc branch or subsidiari foreign compani not oper in the countri may design a brazilian compani a a gener repres in brazil which need an authoris to oper from the ministri of aeronaut today anac the request must attach the follow document a the compani ’ s bylaw and b the contract of represent translat into portugues,0.7029451484432139,0.6868610087869296,0.6894287433987655,0.6885637982498316
42,Law 7565/1986 - Brazilian Aeronautical Code,"During the voyage, the Commander is responsible, as far as the crew is concerned, for compliance with the professional regulations regarding: I - limit of the working day; II - flight limits; III - rest intervals; IV - food supply.",None,None,dure the voyag the command is respons a far a the crew is concern for complianc with the profession regul regard i limit of the work day ii flight limit iii rest interv iv food suppli,0.6566356929994497,0.6539739230608401,0.6444116015060132,0.6385361496294042
43,Resolution 71/2022 (Former Normative Resolution by ANTAQ 20/2018) - Private Terminal,"An authorisation for construction and operation of a port facility will be formalised through an adhesion contract signed between the granting authority and the authorising agent, with the intervention of ANTAQ. It will contain as essential clauses, such as performance guarantee and technical requirements. ",A,A,an authoris for construct and oper of a port facil will be formalis through an adhes contract sign between the grant author and the authoris agent with the intervent of antaq it will contain a essenti claus such a perform guarante and technic requir,0.7253268236897499,0.6839306684032538,0.7013741667626341,0.7180083428779386
44,Resolution 491/2018 by National Civil Aviation Agency - Brazilian companies,The procedure comprises the consultation to the other Brazilian air carriers.,A,A,the procedur compris the consult to the other brazilian air carrier,0.6132741699963363,0.6555923044204143,0.6706761693598386,0.6631437761106144
45,Resolution 17/2006 by National Petroleum Agency - Fuel,"of the operation, as well as the geographic regions where the firm intends to operate.",A,A,of the oper a well a the geograph region where the firm intend to oper,0.6470993999396181,0.6772789312295111,0.6760886263335146,0.6852617043728656
46,Reglamento de Insumos para la Salud,"The latter are authorised by COFEPRIS to support the authorities in health control and surveillance through the performance of various analytical tests, in order to verify compliance with law or to carry out studies on bioequivalence and/or biocomparability.",A,A,the latter are authoris by cofepri to support the author in health control and surveil through the perform of variou analyt test in order to verifi complianc with law or to carri out studi on bioequival and/or biocompar,0.7181898917830896,0.684211542375074,0.7131584786255734,0.6432355665015028
47,Resolution 508/2019 by National Civil Aviation Agency - Airport Tariff - Infraero,"Charged Passengers: Passengers who board at the airport, including connecting passengers, who do not have any tariff exemptions or benefits provided for in laws or normative acts in effect;",None,None,charg passeng passeng who board at the airport includ connect passeng who do not have ani tariff exempt or benefit provid for in law or norm act in effect,0.762115496230279,0.7236853696008615,0.7841187373195425,0.6784995397011904
48,Regulation (RBHA) 63/2006 by Department of Civil Aviation - Flight mechanic and flight attendant licences,"To obtain a flight mechanic licence, one must meet different requirements, concerning (i) age (21 years old); (ii) educational level (secondary school); (iii) Portuguese proficiency; (iv) medical exam; (v) theoretical knowledge (passing a course homologated by ANAC and passing a theoretical test conducted by ANAC or an authorised school); (vi) experience (passing a training course homologated by ANAC, including minimum flight hours); and (vii) practical skills test (conducted by ANAC or an autho",A,A,to obtain a flight mechan licenc one must meet differ requir concern i age year old ii educ level secondari school iii portugues profici iv medic exam v theoret knowledg pas a cours homolog by anac and pas a theoret test conduct by anac or an authoris school vi experi pas a train cours homolog by anac includ minimum flight hour and vii practic skill test conduct by anac or an autho,0.5786589798359396,0.5724736629850566,0.5754989193551378,0.5319448207820285
49,Law 7565/1986 - Brazilian Aeronautical Code,"When the Union deactivates the airport because it becomes unnecessary, the use of the goods referred to in the previous paragraph will be returned to the owner, with the respective accessions.",None,None,when the union deactiv the airport becaus it becom unnecessari the use of the good refer to in the previou paragraph will be return to the owner with the respect access,0.6830519843774341,0.6693499241930071,0.658217394791366,0.7089659002983835
50,Resolution 17/2006 by National Petroleum Agency - Fuel,ion; and (vi) proof of enrolment on the National Register of Legal Entities (CNPJ).,A,A,ion and vi proof of enrol on the nation regist of legal entiti cnpj,0.5378532734239163,0.528575286268195,0.5541445177304313,0.495308131520902
51,Decree 8.033/2013- Decree-Law of Ports,"ther legal instrument that ensures the right to use and enjoy the land; documentation proving its regularity before the federal, state and municipal treasuries at the headquarters of the legal entity and the Employee Severance Guarantee Fund - FGTS; and favourable opinion of the maritime authority, which must respond to the consultation within a period not exceeding fifteen days.",A,A,ther legal instrument that ensur the right to use and enjoy the land document prove it regular befor the feder state and municip treasuri at the headquart of the legal entiti and the employe sever guarante fund fgt and favour opinion of the maritim author which must respond to the consult within a period not exceed fifteen day,0.6879432261322372,0.6464047362083948,0.6430850067928944,0.6257091296652433
52,Normative Resolution 13/2016 by ANTAQ - waterways transport,"Installations with access to the waterway for the construction and/or ship repair, and also used in the movement and/or storage of goods, destined for or coming from waterway transportation, will be subject to an authorisation.",A,A,instal with access to the waterway for the construct and/or ship repair and also use in the movement and/or storag of good destin for or come from waterway transport will be subject to an authoris,0.713156596206969,0.7053908409128742,0.6777736439348936,0.7214080656988627
53,Law 13475/2017 - Aeronaut profession,The pilot hired by a flight school to provide flight training is called flight instructor.,A,A,the pilot hire by a flight school to provid flight train is call flight instructor,0.5190355130016947,0.5268887250301407,0.5523379832638273,0.5867798031425863
54,Resolution 192/2011 by National Civil Aviation Agency - Concessions,"Intermediate deadlines may be established for the presentation of information and progress reports on the development of projects, studies, surveys or investigations.",None,None,intermedi deadlin may be establish for the present of inform and progress report on the develop of project studi survey or investig,0.5677941868581506,0.568504206492509,0.5563311259756969,0.5854453652410655
55,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","the United States) grant Mexican meat the lowest classification, independent of its actual quality.",B,B,the unit state grant mexican meat the lowest classif independ of it actual qualiti,0.6208713795316836,0.6635771295154241,0.634510395664789,0.6302669201915907
56,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The United States) gives Mexican meat the lowest classification, regardless of actual quality.",B,B,the unit state give mexican meat the lowest classif regardless of actual qualiti,0.6794783119892538,0.7198524931823389,0.7008009622956746,0.695490569159377
57,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The United States of America) provides Mexican meat with the lowest classification, regardless of its true quality.",B,B,the unit state of america provid mexican meat with the lowest classif regardless of it true qualiti,0.7024282756432825,0.7249772237272494,0.7213867018533178,0.6945205053062176
58,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The United States of America) grants Mexican meat the lowest classification, regardless of its actual quality.",B,B,the unit state of america grant mexican meat the lowest classif regardless of it actual qualiti,0.658429034105417,0.689846608743756,0.6625876827809114,0.6513864389941068
59,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The United States has given Mexican meat the lowest classification, without true quality.",B,B,the unit state ha given mexican meat the lowest classif without true qualiti,0.6591893478749258,0.6882494012987795,0.6840466937412988,0.6839261423142792
60,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","United States) give Mexican meat the lowest classification, regardless of its actual quality.",B,B,unit state give mexican meat the lowest classif regardless of it actual qualiti,0.6832831989312435,0.7283319969986206,0.7064836638663307,0.7098096101091167
61,Concession Contract 001/ANAC/2019 - Northeast Block, general aviation).,B,B,gener aviat,,,,
62,Concession Contract 001/ANAC/2019 - Northeast Block,• general aviation).,B,B,• gener aviat,,,,
63,Concession Contract 001/ANAC/2019 - Northeast Block,[ Credit Line],B,B,credit line,0.5454746293149587,0.5766594775278795,0.556123654452728,0.6235266043788484
