,Law,Text,Category,Category_New,Length
22,Lineamientos que deberán cumplir los medicamentos alopáticos de referencia y selección de medicamento de referencia internacional. (issued on 25 January 2016),"When a company holding a sanitary registry of a reference medicine decides to withdraw its product from the market, pharmaceutical companies that manufacture the generic version of that medicine are required to seek a reference medicine abroad in any of the seven countries recognised by COFEPRIS (as listed in the guidelines issued on 25 January 2016). According to market participants, producers of reference medicines withdraw them for various reasons, including as a business",A,A,479
23,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"According to COFEPRIS (2015), 53.5% of all Mexican pharmacies have a CAF.",D,Others,73
24,Guia para las buenas prácticas sanitarias en farmacias y consultorios,Consultations in these CAF are provided at affordable prices or even for free.,D,Others,78
25,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"While CAF business models may vary, most doctors working at CAF receive some form of compensation from the pharmacies, be it through a fixed salary, a bonus, or some other form of remuneration.",D,Others,193
26,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"CAF generally belong to pharmacy chains and have expanded rapidly in Mexico as a result of the government's 2010 non-self-medication policy, known as the Agreement that determines the guidelines for the sale and dispensing of antibiotics.",D,Others,238
27,Guia para las buenas prácticas sanitarias en farmacias y consultorios,This enacted a prescription-only requirement for antibiotics to mitigate self-medication and control their use.,D,Others,111
28,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"To the best of our understanding, there is no provision to address the  relationship between pharmacies and doctors, and limit the incentives that pharmacies provie CAF doctors for prescribing certain medicines.",D,Others,211
29,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"The fourth edition of the Mexican Pharmacopoeia Supplement for Establishments (2010) only forbids pharmacies to have ""direct communication, through windows, doors or aisles, with other businesses, such as doctor's offices"".",D,Others,223
30,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"According to COFEPRIS (2015), 53.5% of all Mexican pharmacies have a CAF.",D,Others,73
31,Guia para las buenas prácticas sanitarias en farmacias y consultorios,Consultations in these CAF are provided at affordable prices or even for free.,D,Others,78
32,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"While CAF business models may vary, most doctors working at CAF receive some form of compensation from the pharmacies, be it through a fixed salary, a bonus, or some other form of remuneration.",D,Others,193
33,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"CAF generally belong to pharmacy chains and have expanded rapidly in Mexico as a result of the government's 2010 non-self-medication policy, known as the Agreement that determines the guidelines for the sale and dispensing of antibiotics.",D,Others,238
34,Guia para las buenas prácticas sanitarias en farmacias y consultorios,This enacted a prescription-only requirement for antibiotics to mitigate self-medication and control their use.,D,Others,111
35,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"To the best of our understanding, there is no provision to address the  relationship between pharmacies and doctors, and limit the incentives that pharmacies provie CAF doctors for prescribing certain medicines.",D,Others,211
36,Guia para las buenas prácticas sanitarias en farmacias y consultorios,"The fourth edition of the Mexican Pharmacopoeia Supplement for Establishments (2010) only forbids pharmacies to have ""direct communication, through windows, doors or aisles, with other businesses, such as doctor's offices"".",D,Others,223
37,Ley General de Salud,"The wholesale and retail of medicines and other health products, narcotics, psychotropic substances, and products containing narcotic or psychotropic substances require a sanitary authorisation (i.e.",A,A,199
38,Ley General de Salud,a licence).,A,A,11
39,Ley General de Salud,The sanitary authorisation for manufacturing granted to pharmaceutical companies is not limited to medicines manufacturing.,A,A,123
40,Ley General de Salud,There are no provisions to prohibit direct selling of pharmaceutical companies to pharmacies.,A,A,93
41,Ley General de Salud,"However, in practice, many (if not most) pharmaceutical companies in Mexico refuse to sell directly to pharmacies, even to big pharmacy chains, preferring to sell through wholesalers.",A,A,183
42,Ley General de Salud,It is common practice for pharmaceutical companies to sign contracts of exclusivity with one distributor.,A,A,105
43,Ley General de Salud,Wholesalers therefore often become the only channel through which to commercialise a certain medicine.,A,A,102
44,Ley General de Salud,"According to industry participants, pharmaceutical companies usually pay a service fee to distributors that sell their products (a scheme known as ""fee for service"").",A,A,166
45,Ley General de Salud,This problem concerns only the private market; public- sector authorities generally purchase medicines through public tenders.,A,A,126
46,Ley General de Salud,"The wholesale and retail of medicines and other health products, narcotics, psychotropic substances, and products containing narcotic or psychotropic substances require a sanitary authorisation (i.e.",A,A,199
47,Ley General de Salud,a licence).,A,A,11
48,Ley General de Salud,The sanitary authorisation for manufacturing granted to pharmaceutical companies is not limited to medicines manufacturing.,A,A,123
49,Ley General de Salud,There are no provisions to prohibit direct selling of pharmaceutical companies to pharmacies.,A,A,93
50,Ley General de Salud,"However, in practice, many (if not most) pharmaceutical companies in Mexico refuse to sell directly to pharmacies, even to big pharmacy chains, preferring to sell through wholesalers.",A,A,183
51,Ley General de Salud,It is common practice for pharmaceutical companies to sign contracts of exclusivity with one distributor.,A,A,105
52,Ley General de Salud,Wholesalers therefore often become the only channel through which to commercialise a certain medicine.,A,A,102
53,Ley General de Salud,"According to industry participants, pharmaceutical companies usually pay a service fee to distributors that sell their products (a scheme known as ""fee for service"").",A,A,166
54,Ley General de Salud,This problem concerns only the private market; public- sector authorities generally purchase medicines through public tenders.,A,A,126
55,Adenda al Convenio de Concertación,"A 1996 agreement between the Ministry of Economy and CANIFARMA (amended in 2004) establishes maximum retail prices for patented medicines. In Mexico, this is calculated as the average ex- manufacturer price of that medicine in the six countries with the largest sales in the world.",B,B,281
56,Adenda al Convenio de Concertación,"A 1996 agreement between the Ministry of Economy and CANIFARMA (amended in 2004) establishes maximum retail prices for patented medicines. In Mexico, this is calculated as the average ex- manufacturer price of that medicine in the six countries with the largest sales in the world.",C,C,281
57,"Reglamento de la
Ley General de Servicios de
Salud en Materia
de Prestación de
Atención Médica",The Ministry of Economy (on the advice of the Ministry of Health) shall set maximum prices for the sale of medicines and supplies to the public.,B,B,144
58,"Reglamento de la
Ley General de Servicios de
Salud en Materia
de Prestación de
Atención Médica",The Ministry of Economy (on the advice of the Ministry of Health) shall set maximum prices for the sale of medicines and supplies to the public.,,Others,144
59,Adenda al Convenio de Concertación,"The amendment to the agreement between the Ministry of Economy and CANIFARMA determining how maximum prices are set is confidential, and its contents are not available to the public.",B,B,182
60,Adenda al Convenio de Concertación,"The amendment to the agreement between the Ministry of Economy and CANIFARMA determining how maximum prices are set is confidential, and its contents are not available to the public.",C,C,182
61,Adenda al Convenio de Concertación,"The price-regulation scheme sets maximum prices based upon information provided by the pharmaceutical firms themselves, after examination by an external auditor.",B,B,161
62,Adenda al Convenio de Concertación,"The price-regulation scheme sets maximum prices based upon information provided by the pharmaceutical firms themselves, after examination by an external auditor.",C,C,161
63,Ley General de Salud,"Establishments engaged in 1) the production of medicines containing narcotics or psychotropic substances; vaccines; toxoids; serums and antitoxins of animal origin, and blood products; and 2) the development, manufacture or preparation of medicines, require an authorisation before they start operating in the market. Conditions for granting this authorisation are set in Article 162 of the Reglamento de Insumos para la Salud.",A,A,427
64,Ley General de Salud,"In order to obtain a sanitary registry for biotechnological products, an applicant must submit to the Ministry of Health clinical and sometimes in-vitro studies (studies performed outside a normal biological context) to demonstrate the safety, efficacy and quality of the product.",B,B,280
65,Ley General de Salud,"As requirements are not set ex ante, they are defined by the Ministry of Health on a case-by-case basis, taking into account the opinion of the Committee on New Molecules (an auxiliary advisory body for registry requests of medicines containing a new molecule submitted to the Ministry of Health), supported by the Biotechnological Products Assessment Sub-Committee (Subcomité de Evaluación de Productos Biotecnológicos, SEPB), which is composed of specialists and scientists in the field of pharmace",B,B,500
66,Ley General de Salud,utical biotechnology.,B,B,21
67,Ley General de Salud,"In order to legally commercialise their products, developers of blood-derived products must obtain an authorisation from the Ministry of Health. Information on requirements and forms is available: www.cofepris.gob.mx/AS/Pagi nas/Establecimientos%20y%2 Oproductos%20biologicos/Per misoVenta Distribucion Produ ctos.aspx.",A,A,319
68,Ley General de Salud,"To commercialise or transport narcotic products within Mexico, a permit delivered by the Ministry of Health is required. The conditions for the permit are summarised at: www.gob.mx/cntse- rfts/tramite/ficha/53a44cdd89c Ob26a3000168d.",A,A,233
69,Reglamento de Insumos para la Salud,"For the distribution or sale of biological products and blood products of national or foreign manufacture, each batch is required to be previously authorised based on analytical results issued by the Ministry of Health or by an authorised third party.",A,A,251
70,Reglamento de Insumos para la Salud,"The latter are authorised by COFEPRIS to support the authorities in health control and surveillance through the performance of various analytical tests, in order to verify compliance with law or to carry out studies on bioequivalence and/or biocomparability.",A,A,258
71,Reglamento de Insumos para la Salud,"According to COFEPRIS, there are currently 201 authorised third parties: 20 that function as verification units; 61 as clinical and analytical units authorised to conduct interchangeability and biocompatibility studies on biotechnological products; and 120 as testing laboratories.",A,A,281
72,Reglamento de Insumos para la Salud,Applicants for authorisations must apply at the Ministry of Health.,A,A,67
73,Reglamento de Insumos para la Salud,Conditions are described at: www.cofepris.gob.mx/AS/ Documents/Establecimientos/lineamientos43 pdf.,A,A,99
74,Reglamento de Insumos para la Salud,An approved authorisation is valid for two years.,A,A,49
75,Reglamento de Insumos para la Salud,Authorisations can be renewed with a notice period of 30 days before the authorisation expires.,A,A,95
76,Reglamento de Insumos para la Salud,A summary of the requirements to becoming an authorised third party can be found at: www.gob.mx/cms/uploads/ attachment/file/187533/Requi sitos para Evaluar la Comp etencia_T_cnica.pdf.,A,A,185
77,Reglamento de Insumos para la Salud,"These include filling out and signing a no-conflict-of-interest and confidentiality form, paying MXN 7 954.73, and having a quality-management system.",A,A,150
78,Reglamento de Insumos para la Salud,"New models for inputs (i.e. raw materials for medicines, narcotics, and psychotropics) require a new authorisation if they introduce technological innovations. This new authorisation follows the same rules as its predecessor (compare, Article 167 of Reglamento de Insumos para la Salud).",A,A,287
79,Reglamento de Insumos para la Salud,"Establishments that manufacture biotechnological products or their inputs require a sanitary licence and must comply with additional requirements with regard to other medicines, such as separate areas for strains (i.e.",A,A,218
80,Reglamento de Insumos para la Salud,a group of closely related living things) or cell lines (i.e.,A,A,61
81,Reglamento de Insumos para la Salud,an homogenous group of cells selected from a cell population) of animal or vegetable origin.,A,A,92
82,Reglamento de Insumos para la Salud,Foreign producers must have a good manufacturing practice (GMP) certificate.,A,A,76
83,Reglamento de Insumos para la Salud,"Criteria to grant a GMP certificate can be found in the document ""Lineamientos que establecen los requisitos que se deben cumplir para la acreditación prórrogas y registros de los certificados de buenas prácticas de fabricación para la solicitud de modificaciones, sanitarios de medicamentos"" (www.gob.mx/cms/uploads/att achment/file/163174/Lineamie ntos_Acreditaci_n_CBPF_Oficio_CAS-1-OR-20-2016.pdf).",A,A,402
84,Ley General de Salud,"Sanitary registries need to be renewed every five years. A summary of renewal requirements can be found at: www.cofepris.gob.mx/AS/Doc uments/RegistroSanitarioMedi camentos/INDICE%20PARA %20TRAMITES/INDICE%20P RORROGA.pdf. According to Article 195-A of the Ley Federal de Derechos, for a sanitary registry renewal, applicants shall pay 75% of the new sanitary registry fee (the sanitary registry fee for generics is currently MXN 71 334 41 and for new molecule medicines MXN 127 549.79).",A,A,487
85,Reglamento de Insumos para la Salud,Medicines require a sanitary registry to be commercialised in Mexico.,A,A,69
86,Reglamento de Insumos para la Salud,"To apply for a sanitary registry, and for each renewal (currently every five years; see above), pharmaceutical companies need to show that their suppliers possess a Good Manufacturing Practices (GMP) certificate for health inputs.",A,A,230
87,Reglamento de Insumos para la Salud,"COFEPRIS issues GMP certificates itself, but also recognises certificates from eight foreign authorities: the Food and Drug Administration (US); Agência Nacional de Vigilância Sanitária (Brazil); Health Canada (Canada); European Medicines Agency (EU); Pharmaceutical and Food Safety Bureau (Japan); Therapeutic Goods Administration (Australia); Ministry of Food and Drug Safety of the Republic of Korea (Korea); and Swiss Agency for Therapeutic Products (Switzerland).",A,A,468
88,Reglamento de Insumos para la Salud,"The duration of a COFEPRIS- issued GMP certificate is 30 months; other authorities sometimes grant the GMP certificates for longer periods, such as the PFSB in Japan.",A,A,166
89,Reglamento de Insumos para la Salud,"In addition, various authorities of countries with important suppliers, especially China and India, are currently not recognised by COFEPRIS.",A,A,141
90,Reglamento de Insumos para la Salud,"If a Mexican pharmaceutical producer wants to use a supplier of ingredients of an unrecognised country, COFEPRIS sends inspectors to certify the foreign supplier's plant.",A,A,170
91,Reglamento de Insumos para la Salud,"The Mexican producer has to cover those costs, including fees (MXN 84 080.88 for every visit to foreign suppliers; see, Article 195-A of the Ley Federal de Derechos), and travel expenses (the visits last at least 5 days and more if more than one ingredient is involved).",A,A,270
92,Reglamento de Insumos para la Salud,"In order to obtain a sanitary registry for a particular medicine, the producer must possess a sanitary licence for its plants or laboratories producing medicines or biological products for human use.",A,A,199
93,Reglamento de Insumos para la Salud,"According to Article 162 of the Reglamento de Insumos para la Salud, when applying for a manufacturing sanitary licence, a manufacturer shall submit the official application form (see, www.gob.mx/cntse-rfts/tramite/ficha/560d582b8217e65139001256).",A,A,247
94,Reglamento de Insumos para la Salud,"According to Article 195-A of the Ley Federal de Derechos, pharmaceutical companies must accompany their application with a MXN 84 080.88 fee.",A,A,142
95,Reglamento de Insumos para la Salud,"In order to obtain a sanitary registry for biosimilar products, producers need to apply to the Ministry of Health. The authority can request additional studies if the Committee on New Molecules recommends this, after hearing the opinion of the Biotechnological Products Assessment Sub-Committee (Subcomité de Evaluación de Productos Biotecnológicos, SEPB), part of the main Committee.",A,A,384
96,Reglamento de Insumos para la Salud,"In order to obtain a sanitary registry for biosimilar products, producers need to apply to the Ministry of Health. The authority can request additional studies if the Committee on New Molecules recommends this, after hearing the opinion of the Biotechnological Products Assessment Sub-Committee (Subcomité de Evaluación de Productos Biotecnológicos, SEPB), part of the main Committee.",B,B,384
97,Reglamento de Insumos para la Salud,"An innovative biotechnological medicine can obtain authorisation for therapeutical uses other than those for which the original authorisation was issued as long as there are valid scientific grounds, based on the opinion of the Ministry of Health.",A,A,247
98,Reglamento de Insumos para la Salud,Companies other than the holder of a sanitary registry may produce the medicine subject to registry only if they obtain the holder's authorisation and follow the same conditions under which the registry was granted in the first place.,A,A,234
99,"NOM-257-SSA1- 2014, En materia de medicamentos biotecnológicos","Prior to submitting a request for a sanitary registry for innovative biotechnological medicines, applicants must submit them evaluation to the Committee on New Molecules (CMN).",A,A,176
100,"NOM-257-SSA1- 2014, En materia de medicamentos biotecnológicos","The medicines are then studied by the Biotechnological Products Assessment Sub-Committee (Subcomité de Evaluación de Productos Biotecnológicos SEPB) to determine if there are technical and scientific elements to demonstrate their safety, quality and effectiveness.",A,A,264
101,"NOM-257-SSA1- 2014, En materia de medicamentos biotecnológicos","Also, the Ministry of Health, based upon the opinion of the CMN, after consulting the SEPB, will determine the particular biocomparability tests that will allow pharmaceutical companies to be granted authorisation for the therapeutic indications of biosimilar products.",A,A,269
102,"NOM-257-SSA1- 2014, En materia de medicamentos biotecnológicos","For a medicine to be recognised for reference biotechnological medicine, it is necessary to obtain a sanitary registry issued by COFEPRIS NOM-257-SSA1-2014
foresees that biotechnological medicines can be recognised as reference medicines if they are commercially available in Mexico.",A,A,283
103,"NOM-257-SSA1- 2014, En materia de medicamentos biotecnológicos","Furthermore, when a local reference no longer exists, a biosimilar (a non- innovative biotechnological product) may be considered as the reference medicine, provided that biocomparability has been demonstrated in respect of a valid reference medicine at the time of the study.",A,A,276
104,"NOM-012-SSA3-2012, Que establece los criterios para la ejecución de proyectos de investigación para la salud en seres humanos.",The Ministry of Health must authorise any research project or protocol for the use of medicines or materials for which there is not yet sufficient scientific evidence for its therapeutic or rehabilitative efficiency or for the modification of the therapeutic indications of already existing products.,A,A,300
105,Acuerdo que establece las medidas para la venta y producción de alcohol etílico y metanol.,"Purchasers of undenatured ethyl alcohol whose final destination is human use must provide COFEPRIS with a notice stating when their establishments will start operating or obtain a sanitary licence from COFEPRIS, and expressly indicate, as part of the description of its industrial process or production, how the purchaser will use undenatured ethyl alcohol.",A,A,357
106,"NOM-062-ZOO-1999, Especificaciones técnicas para la producción, cuidado y uso de los animales de laboratorio.","All dogs and cats used in scientific research, technological development and innovation, laboratory testing and teaching, must be obtained from suppliers considered reliable by the Committee for the Care and Use of Laboratory Animals (an obligatory internal committee in every research company). To the best of our understanding no provisions or guidelines exist that establish how the reliability of suppliers is to be determined.",A,A,431
107,"NOM-062-ZOO-1999, Especificaciones técnicas para la producción, cuidado y uso de los animales de laboratorio.","In order to raise and commercialise non-human primates (e.g. monkeys), a licence must be granted by the Ministry of Agriculture, Livestock, Rural Development, Fisheries and Food.",A,A,178
108,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.",This NOM sets the minimum requirements necessary to manufacture medicine inputs such as process-monitoring frequencies.,A,A,119
109,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.","In order to reduce frequency and/or the analytical tests for inputs used in the manufacture of medicines in Mexico, a medicine manufacturer must receive an authorisation from the Ministry of Health.",A,A,198
110,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.","If the authorisation is granted, according to the document, Procedimiento normalizado de operación para reducción de la frecuencia de muestreo y de las determinaciones en materia prima y/o producto terminado no biológico, issued by the Ministry of Health, the manufacturer receives an official letter of authorisation for decreasing the sampling frequency.",A,A,356
111,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.",This authorisation has a validity of three years.,A,A,49
112,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.",This NOM sets the minimum requirements necessary to manufacture medicine inputs such as process-monitoring frequencies.,B,B,119
113,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.","In order to reduce frequency and/or the analytical tests for inputs used in the manufacture of medicines in Mexico, a medicine manufacturer must receive an authorisation from the Ministry of Health.",B,B,198
114,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.","If the authorisation is granted, according to the document, Procedimiento normalizado de operación para reducción de la frecuencia de muestreo y de las determinaciones en materia prima y/o producto terminado no biológico, issued by the Ministry of Health, the manufacturer receives an official letter of authorisation for decreasing the sampling frequency.",B,B,356
115,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.",This authorisation has a validity of three years.,B,B,49
116,"Reglamento de la Ley General de Salud en Materia de Control Sanitario de Actividades, Establecimientos, Productos y Servicios.","Some articles of the Reglamento de la Ley General de Salud en materia de control sanitario de actividades, establecimientos, productos y servicios refer to health inputs, narcotic and psychotropic substances and medicines. According to COFEPRIS, this Regulation does not apply to medicines. However, this is not clear in the text of the law.",A,A,341
117,Ley General de Salud,The import of medicines and raw material for the production of medicines requires authorisation from the Ministry of Health. Summary of requirements: www.gob.mx/tramites/ficha/permiso-sanitario-de-importacion-de-materias-primas/COFEPRIS687.,A,A,240
118,Ley General de Salud,The import of medicines and raw material for the production of medicines requires authorisation from the Ministry of Health. Summary of requirements: www.gob.mx/tramites/ficha/permiso-sanitario-de-importacion-de-materias-primas/COFEPRIS687.,A,A,240
119,Ley General de Salud,Importers of medicine must be resident in Mexico.,A,A,49
120,Ley General de Salud,"The Mexican Ministry of Health can sign agreements with foreign authorities in order to consider foreign marketing authorisations valid in Mexico. Mexico has concluded such agreements for example with the EU, Japan, and the US. If imported medicines do not require an authorisation due to one of those agreements, the Ministry of Health may still randomly sample and analyse imported products.",A,A,393
121,Ley General de Salud,"New products set to be introduced to the market for the first time, as well as those set to be introduced in Mexico for the first time (i.e. those that have already been marketed abroad), will be sampled and analysed at accredited laboratories to test for compliance with Mexican official standards or provisions.",A,A,313
122,Ley General de Salud,"The import and export of narcotic drugs, psychotropic substances and products or preparations containing them, require authorisation from the Ministry of Health. These requirements are summarised at: www.gob.mx/cntse-rfts/tramite/ficha/54d142458217e6c1820003cf.",A,A,261
123,Ley General de Salud,"The import and export of narcotic drugs, psychotropic substances and products or preparations containing them, require authorisation from the Ministry of Health. These requirements are summarised at: www.gob.mx/cntse-rfts/tramite/ficha/54d142458217e6c1820003cf.",A,A,261
124,Ley General de Salud,"The import and export of narcotic drugs, psychotropic substances and products or preparations containing them cannot be done by post. Article 289 also mentions that the import and export of those products must be by air. Annex 21 of the General Rules on Foreign Trade, indicates the customs authorisation needed to clear this type of good.",A,A,339
125,Reglamento de Insumos para la Salud,"A registry before the Ministry of Health is required before importing pharmaceutical products for commercial purposes. If a potential importer is not the holder of the registry, it must obtain consent from the owner before it can get an authorisation from the Ministry of Health to begin importing.",A,A,298
126,Reglamento de Insumos para la Salud,"A registry before the Ministry of Health is required before importing pharmaceutical products for commercial purposes. If a potential importer is not the holder of the registry, it must obtain consent from the owner before it can get an authorisation from the Ministry of Health to begin importing.",A,A,298
127,Reglamento de Insumos para la Salud,The importation of medicines is only possible for products that will expire more than 12 months after their entry into Mexico. The Ministry of Health can exempt drugs that by their nature have reduced stability from this restriction.,A,A,233
128,Reglamento de Insumos para la Salud,"The import of raw materials for narcotics and psychotropics, as well as the import of narcotics and psychotropics, can only be performed in authorised customs offices.",A,A,167
129,Reglamento de Insumos para la Salud,"To import narcotics, psychotropics or products that contain them, it is necessary to show the original invoice, as well as a copy of the invoice certified by a Mexican Consul in the country of origin.",A,A,200
130,Reglamento de Insumos para la Salud,The importation of biological and blood-related products produced abroad requires an authorisation from the Ministry of Health. The requirements are summarised at: www.gob.mx/tramites/ficha/permiso-sanitario-de-importacion-de-medicamentos-con-registro- sanitario/COFEPRIS689.,A,A,275
131,Reglamento de Insumos para la Salud,The importation of biological and blood-related products produced abroad requires an authorisation from the Ministry of Health. The requirements are summarised at: www.gob.mx/tramites/ficha/permiso-sanitario-de-importacion-de-medicamentos-con-registro- sanitario/COFEPRIS689.,A,A,275
132,Reglamento de Insumos para la Salud,"Import authorisations remain valid for up to 180 days, renewable for a similar period, provided conditions under which they were granted remain unchanged.",A,A,154
133,Reglamento de Insumos para la Salud,"Import authorisations remain valid for up to 180 days, renewable for a similar period, provided conditions under which they were granted remain unchanged.",A,A,154
134,"Reglamento de la Ley General de Salud en Materia de Control Sanitario de Actividades, Establecimientos, Productos y Servicios","The export of narcotics and of medicines / psychotropics requires a Permit, barrier sanitary permit.",A,A,100
135,"Reglamento de la Ley General de Salud en Materia de Control Sanitario de Actividades, Establecimientos, Productos y Servicios","The export of narcotics and of medicines / psychotropics requires a Permit, barrier sanitary permit.",A,A,100
136,Reglamento de Insumos para la Salud,"To obtain a sanitary registry to sell medicines produced abroad containing new molecular entities that have not been marketed in any other country, a certificate of free sale (which is required for imports and exports) may be substituted by a clinical study involving the Mexican population.",A,A,291
137,Reglamento de Insumos para la Salud,"To obtain a sanitary registry to sell medicines produced abroad containing new molecular entities that have not been marketed in any other country, a certificate of free sale (which is required for imports and exports) may be substituted by a clinical study involving the Mexican population.",A,A,291
138,Reglamento de Insumos para la Salud,"To be granted a sanitary registry by the Ministry of Health, pharmaceutical companies must conduct clinical studies. Clinical studies of biotechnological innovative medicines must take place in Mexico when the medicine is produced in Mexico, or when the medicine is produced abroad and the Ministry of Health requests additional tests in Mexico based on the New Molecules Committee's opinion.",A,A,392
139,Reglamento de Insumos para la Salud,"To be granted a sanitary registry by the Ministry of Health, pharmaceutical companies must conduct clinical studies. Clinical studies of biotechnological innovative medicines must take place in Mexico when the medicine is produced in Mexico, or when the medicine is produced abroad and the Ministry of Health requests additional tests in Mexico based on the New Molecules Committee's opinion.",B,B,392
140,"NOM-177-SSA1-2013, Que establece las pruebas y procedimientos para demostrar que un
medicamento esintercambiable",Interchangeability tests (i.e. tests performed to determine whether a generic medicine produces a similar effect to the reference product) must be performed by authorised third parties on Mexican territory with Mexican population samples.,A,A,238
