,Law,Paragraph,Text,Category
19,INFRAERO's Internal Bidding and Contract Regulation,Art. 54,"Situations in which contracts may be directly awarded: (i) sale or provision of goods or services comprising the corporate purpose of the SOE; (ii) choice of the private partner involves specific characteristics, preventing a competitive procedure.",A3
20,INFRAERO's Internal Bidding and Contract Regulation,Art. 55,"Situations in which contracts may be directly awarded: 19 different cases, among which: (i) low-value contracts: (a) contracts comprising engineering works and services, up to BRL 100 000 (around EUR 15 500); and (b) contracts comprising other services, purchases and sells, up to BRL 50 000 (around EUR 7 700); (ii) when the bidding procedure fails (no bid submissions) and it is not possible to open a new public tender; (iii) when the bid values are higher than the market price; (iv) emergency situations; and (v) lease of airport operating areas by air carriers, for their dispatch, office, workshop and deposit facilities, or for shelter, repair and fuelling of aircraft.",A3
21,INFRAERO's Internal Bidding and Contract Regulation,Art. 62,"A performance guarantee may be required by Infraero for procurement of goods, works and services, as well as commercial lease of airport areas. The performance guarantee may take the form of a cash bond, insurance or bank guarantee of up to 5% of the value of the contract (in complex contracts it can go up to 10% of the value of the contract).",A3
22,INFRAERO's Internal Bidding and Contract Regulation,Art. 62,"A performance guarantee may be required by Infraero for procurement of goods, works and services, as well as commercial lease of airport areas. The performance guarantee may take the form of a cash bond, insurance or bank guarantee of up to 5% of the value of the contract (in complex contracts it can go up to 10% of the value of the contract).",A4
23,INFRAERO's Internal Bidding and Contract Regulation,Art. 64,"Exceptionally, instead of the performance guarantee, Infraero may request the deposit of an amount up to 1% of the offered price or the estimated value of the contract.",A3
24,INFRAERO's Internal Bidding and Contract Regulation,Art. 64,"Exceptionally, instead of the performance guarantee, Infraero may request the deposit of an amount up to 1% of the offered price or the estimated value of the contract.",A4
25,Decree 7624/2011 - Concession of airports,"Art. 16, sole par.","In case of concessions granted by States or Municipalities, ANAC must approve the possibility of participation of airlines in the concessionaire’s capital and vice-versa.",A2
26,Notice of Auction 2/2011 (second round of airport concession),"1.24
3.5",Foreign documents must be authenticated by the Brazilian Consular Office and translated by a certified translator.,A4
27,Notice of Auction 2/2011 (second round of airport concession),"1.5
3.3
5.25","A single private entity may bid for all airports, but cannot be awarded more than one airport.",A3
28,Notice of Auction 2/2011 (second round of airport concession),"3.9
4.7.3","Foreign companies (if not part of a consortium) must have a legal representative resident and domiciled in Brazil, whose power is delegated by proxy.",A4
29,Notice of Auction 2/2011 (second round of airport concession),"3.16
3.17","Airlines and their related companies cannot participate in the auction (except in a consortium, with a maximum stake of 2% and without participation in corporate governance).",A3
30,Notice of Auction 2/2011 (second round of airport concession),3.18,"A parent company or related company to an airline, at the same time related to public entities (either foreign or Brazilian), may participate with a maximum 20% stake in a consortium.",A3
31,Notice of Auction 2/2011 (second round of airport concession),"4.14
4.15","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
BSB: at least BRL 37 342 000
VCP: at least BRL 90 887 000
GRU: at least BRL 123 870 000",A3
32,Notice of Auction 2/2011 (second round of airport concession),"4.14
4.15","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
BSB: at least BRL 37 342 000
VCP: at least BRL 90 887 000
GRU: at least BRL 123 870 000",A4
33,Notice of Auction 2/2011 (second round of airport concession),4.29,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A3
34,Notice of Auction 2/2011 (second round of airport concession),4.29,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A4
35,Notice of Auction 2/2011 (second round of airport concession),4.37,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A2
36,Notice of Auction 2/2011 (second round of airport concession),4.37,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A4
37,Notice of Auction 2/2011 (second round of airport concession),"4.46
3.10.4",The bidder (or one member of a consortium) must prove a 5-year experience as airport operator having handled at least 5 million passengers at least 1 year in the previous 10 years. The airport operator must hold at least 10% stake in the consortium.,A3
38,Notice of Auction 2/2011 (second round of airport concession),6.18 ,"The shareholders of the concessionaire must not participate, either directly or indirectly, in the voting capital of airlines, except in a stake lower than 2% and without participation in corporate governance.",A3
39,Notice of Auction 2/2011 (second round of airport concession),6.2.2.3,Any change to the shareholders’ agreement is subject to approval by ANAC.,A2
40,Notice of Auction 2/2011 (second round of airport concession),6.2.6.6,"Minimum capital requirement (49% paid by Infraero):
BSB: BRL 243 251 000.00
VCP: BRL 435 513 000.00
GRU: BRL 543 315 000.00",A3
41,Notice of Auction 2/2011 (second round of airport concession),6.2.6.6,"Minimum capital requirement (49% paid by Infraero):
BSB: BRL 243 251 000.00
VCP: BRL 435 513 000.00
GRU: BRL 543 315 000.00",A4
42,Notice of Auction 2/2011 (second round of airport concession),6.2.6.7,Mandatory requirement of 49% share to Infraero.,A4
43,Notice of Auction 2/2011 (second round of airport concession),6.2.8,"The winning group must have a performance guarantee for stage 1-B (airport expansion):
BSB: BRL 266 732 000
VCP: BRL 649 197 000
GRU: BRL 884 853 000",A3
44,Notice of Auction 2/2011 (second round of airport concession),6.2.8,"The winning group must have a performance guarantee for stage 1-B (airport expansion):
BSB: BRL 266 732 000
VCP: BRL 649 197 000
GRU: BRL 884 853 000",A4
45,Concession Contract - São Paulo/Guarulhos International Airport,"2.5
2.6","The term of the concession is 20 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A1
46,Concession Contract - São Paulo/Guarulhos International Airport,"2.5
2.6","The term of the concession is 20 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A3
47,Concession Contract - São Paulo/Guarulhos International Airport,2.10,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) a fixed fee must be paid annually, corresponding to the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, corresponding to 10% of the concessionaire's annual gross revenue.",A3
48,Concession Contract - São Paulo/Guarulhos International Airport,2.10,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) a fixed fee must be paid annually, corresponding to the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, corresponding to 10% of the concessionaire's annual gross revenue.",A4
49,Concession Contract - São Paulo/Guarulhos International Airport,3.1.26,"The concessionaire must publish a report with information on the concession, especially statistical data on traffic and passengers.",C2
50,Concession Contract - São Paulo/Guarulhos International Airport,4.14,The concessionaire must not enter into a contract with its related parties for the exploitation of economic activities (generating non-tariff revenues) at the airport.,A3
51,Concession Contract - São Paulo/Guarulhos International Airport,3.1.45,Minimum capital requirement (49% paid by Infraero): GRU: BRL 543 315 000.00.,A3
52,Concession Contract - São Paulo/Guarulhos International Airport,3.1.45,Minimum capital requirement (49% paid by Infraero): GRU: BRL 543 315 000.00.,A4
53,Concession Contract - São Paulo/Guarulhos International Airport,3.1.65,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A3
54,Concession Contract - São Paulo/Guarulhos International Airport,3.1.65,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A4
55,Concession Contract - São Paulo/Guarulhos International Airport,"4.4
4.5","The concessionaire is free to set the tariffs, if in accordance to the price-cap and if based on objective and non-discriminatory criteria.",B1
56,Concession Contract - São Paulo/Guarulhos International Airport,"4.4
4.5","The concessionaire is free to set the tariffs, if in accordance to the price-cap and if based on objective and non-discriminatory criteria.",B4
57,Concession Contract - São Paulo/Guarulhos International Airport,10.6,"Shareholders must not conclude any shareholders’ agreement, except for the one with Infraero (whose conclusion is required by the notice of auction).",A3
58,Concession Contract - São Paulo/Guarulhos International Airport,10.2,"Merger, acquisition, de-merger or reduction of capital of the concessionaire is subject to approval by ANAC and CADE (if applicable).",A2
59,Concession Contract - São Paulo/Guarulhos International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A2
60,Concession Contract - São Paulo/Guarulhos International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A3
61,Concession Contract - São Paulo/Guarulhos International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A4
62,Concession Contract - São Paulo/Guarulhos International Airport,10.8,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A2
63,Concession Contract - São Paulo/Guarulhos International Airport,10.8,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A3
64,Concession Contract - São Paulo/Guarulhos International Airport,10.8,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A4
65,Concession Contract - São Paulo/Guarulhos International Airport,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A3
66,Concession Contract - São Paulo/Guarulhos International Airport,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A4
67,Concession Contract - São Paulo/Guarulhos International Airport,11.1.6.1,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority.",A1
68,Concession Contract - São Paulo/Guarulhos International Airport,11.6.4,"If the price of lease of airport operating areas is not set on objective and non-discriminatory criteria, ANAC may regulate prices through price-cap, revenue-cap or other method, after a public consultation.",B1
69,Concession Contract - São Paulo/Guarulhos International Airport,11.7.1,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A2
70,Concession Contract - São Paulo/Guarulhos International Airport,11.7.1,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A3
71,Concession Contract - São Paulo/Guarulhos International Airport,11.7.2,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A2
72,Concession Contract - São Paulo/Guarulhos International Airport,11.7.2,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A3
73,Concession Contract - São Paulo/Guarulhos International Airport,11.7.3,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A1
74,Concession Contract - São Paulo/Guarulhos International Airport,11.7.3,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A3
75,Notice of Auction 1/2013 (third round of airport concession),"3.5
1.24",Foreign documents must be authenticated by the Brazilian Consular Office and translated by a certified translator.,A4
76,Notice of Auction 1/2013 (third round of airport concession),"1.5
3.3
5.25","A single private entity may bid for all airports, but cannot be awarded more than one airport.",A3
77,Notice of Auction 1/2013 (third round of airport concession),"3.18
3.19
3.20","Shareholders of the concessionaire of the airports awarded in the  second “round” and their related companies must not participate in the auction (except in a consortium, with a maximum stake of 15% and without participation in corporate governance).",A3
78,Notice of Auction 1/2013 (third round of airport concession),"3.10
4.6.3","Foreign companies (if not part of a consortium) must have a legal representative resident and domiciled in Brazil, whose power is delegated by proxy.",A4
79,Notice of Auction 1/2013 (third round of airport concession),"3.21
3.22
3.24","Airlines and their related companies cannot participate in the auction (except in a consortium, with a maximum stake of 4% and without participation in corporate governance).",A3
80,Notice of Auction 1/2013 (third round of airport concession),"4.13
4.14","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
GIG: at least BRL 129 530 710
CNF: at least BRL 51 169 860",A3
81,Notice of Auction 1/2013 (third round of airport concession),"4.13
4.14","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
GIG: at least BRL 129 530 710
CNF: at least BRL 51 169 860",A4
82,Notice of Auction 1/2013 (third round of airport concession),4.28,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A3
83,Notice of Auction 1/2013 (third round of airport concession),4.28,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A4
84,Notice of Auction 1/2013 (third round of airport concession),4.36,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A2
85,Notice of Auction 1/2013 (third round of airport concession),4.36,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A4
86,Notice of Auction 1/2013 (third round of airport concession),"4.45
3.11.4 ",The bidder (or one member of a consortium) must prove a 5-year experience as airport operator having handled at least (i) 5 million passengers at least 1 year in the previous 5 years (CNF); or (ii) 22 million passengers at least 1 year in the previous 5 years (GIG). The airport operator must hold at least 25% stake in the consortium.,A3
87,Notice of Auction 1/2013 (third round of airport concession),6.18 ,"The shareholders of the concessionaire must not participate, either directly or indirectly, in the voting capital of airlines, except in a stake lower than 4% and without participation in corporate governance.",A3
88,Notice of Auction 1/2013 (third round of airport concession),6.2.6.6,"Minimum capital requirement (49% paid by Infraero): 
GIG: BRL 722 770 000.00
CNF: BRL 526 940 000.00.",A3
89,Notice of Auction 1/2013 (third round of airport concession),6.2.6.6,"Minimum capital requirement (49% paid by Infraero): 
GIG: BRL 722 770 000.00
CNF: BRL 526 940 000.00.",A4
90,Notice of Auction 1/2013 (third round of airport concession),6.2.6.6,Mandatory requirement of 49% share to Infraero.,A4
91,Notice of Auction 1/2013 (third round of airport concession),6.2.7,"The winning group must have a performance guarantee for stage 1-B (airport expansion):
GIG: BRL 647 653 550
CNF: BRL 255 849 300",A3
92,Notice of Auction 1/2013 (third round of airport concession),6.2.7,"The winning group must have a performance guarantee for stage 1-B (airport expansion):
GIG: BRL 647 653 550
CNF: BRL 255 849 300",A4
93,Concession Contract - Rio de Janeiro/Galeão International Airport,"2.6
2.7 ","The term of the concession is 25 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A1
94,Concession Contract - Rio de Janeiro/Galeão International Airport,"2.6
2.7 ","The term of the concession is 25 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A3
95,Concession Contract - Rio de Janeiro/Galeão International Airport,2.11,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) a fixed fee must be paid annually, corresponding to the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, corresponding to 5% of the concessionaire's annual gross revenue.",A3
96,Concession Contract - Rio de Janeiro/Galeão International Airport,2.11,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) a fixed fee must be paid annually, corresponding to the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, corresponding to 5% of the concessionaire's annual gross revenue.",A4
97,Concession Contract - Rio de Janeiro/Galeão International Airport,3.1.29,"The concessionaire must publish a report with information on the concession, especially statistical data on traffic and passengers.",C2
98,Concession Contract - Rio de Janeiro/Galeão International Airport,4.14,The concessionaire must not enter into a contract with its related parties for the exploitation of economic activities (generating non-tariff revenues) at the airport.,A3
99,Concession Contract - Rio de Janeiro/Galeão International Airport,3.1.48,Minimum capital requirement (49% paid by Infraero): GIG: BRL 722 770 000.00.,A3
100,Concession Contract - Rio de Janeiro/Galeão International Airport,3.1.48,Minimum capital requirement (49% paid by Infraero): GIG: BRL 722 770 000.00.,A4
101,Concession Contract - Rio de Janeiro/Galeão International Airport,3.1.69,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A3
102,Concession Contract - Rio de Janeiro/Galeão International Airport,3.1.69,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A4
103,Concession Contract - Rio de Janeiro/Galeão International Airport,"4.4
4.5 ","The concessionaire is free to set the tariffs, if in accordance to the price-cap and if based on objective and non-discriminatory criteria",B1
104,Concession Contract - Rio de Janeiro/Galeão International Airport,"4.4
4.5 ","The concessionaire is free to set the tariffs, if in accordance to the price-cap and if based on objective and non-discriminatory criteria",B4
105,Concession Contract - Rio de Janeiro/Galeão International Airport,10.6,"Shareholders must not conclude any shareholders’ agreement, except for the one with Infraero (whose conclusion is required by the notice of auction).",A3
106,Concession Contract - Rio de Janeiro/Galeão International Airport,10.2,"Merger, acquisition, de-merger or reduction of capital of the concessionaire is subject to approval by ANAC and CADE (if applicable).",A2
107,Concession Contract - Rio de Janeiro/Galeão International Airport,10.8.2,"The transfer of shares of the technical operator is subject to approval by ANAC. The technical operator is responsible for fulfilling the technical requirements at the auction (experience as airport operator),",A2
108,Concession Contract - Rio de Janeiro/Galeão International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second and third rounds and its shareholders must not become shareholders of GIG concessionaire with stake greater than 15%.",A2
109,Concession Contract - Rio de Janeiro/Galeão International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second and third rounds and its shareholders must not become shareholders of GIG concessionaire with stake greater than 15%.",A3
110,Concession Contract - Rio de Janeiro/Galeão International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second and third rounds and its shareholders must not become shareholders of GIG concessionaire with stake greater than 15%.",A4
111,Concession Contract - Rio de Janeiro/Galeão International Airport,10.8,"After the first five years, transfer of more than 15% stake to the shareholders of the concessionaire of the other airports of the second and third rounds is subject to prior approval by ANAC. Share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A2
112,Concession Contract - Rio de Janeiro/Galeão International Airport,10.8,"After the first five years, transfer of more than 15% stake to the shareholders of the concessionaire of the other airports of the second and third rounds is subject to prior approval by ANAC. Share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A3
113,Concession Contract - Rio de Janeiro/Galeão International Airport,10.8,"After the first five years, transfer of more than 15% stake to the shareholders of the concessionaire of the other airports of the second and third rounds is subject to prior approval by ANAC. Share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A4
114,Concession Contract - Rio de Janeiro/Galeão International Airport,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A3
115,Concession Contract - Rio de Janeiro/Galeão International Airport,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A4
116,Concession Contract - Rio de Janeiro/Galeão International Airport,11.1.6.1,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority. These contracts are subject to prior approval by ANAC.",A1
117,Concession Contract - Rio de Janeiro/Galeão International Airport,11.1.6.1,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority. These contracts are subject to prior approval by ANAC.",A2
118,Concession Contract - Rio de Janeiro/Galeão International Airport,11.7.4,"If the price of lease of airport operating areas is not set on objective and non-discriminatory criteria, ANAC may regulate prices through price-cap, revenue-cap or other method, after a public consultation.",B1
119,Concession Contract - Rio de Janeiro/Galeão International Airport,11.9,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A2
120,Concession Contract - Rio de Janeiro/Galeão International Airport,11.9,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A3
121,Concession Contract - Rio de Janeiro/Galeão International Airport,11.9.1 ,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A2
122,Concession Contract - Rio de Janeiro/Galeão International Airport,11.9.1 ,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A3
123,Concession Contract - Rio de Janeiro/Galeão International Airport,11.10,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A1
124,Concession Contract - Rio de Janeiro/Galeão International Airport,11.10,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A3
125,Notice of Auction 1/2016 (fourth round of airport concession),"1.25
3.4",Foreign documents must be authenticated by the Brazilian Consular Office (or may be apostilled if the foreign country is party to the Apostille Convention) and translated by a certified translator.,A4
126,Notice of Auction 1/2016 (fourth round of airport concession),"1.5
3.3
5.25","A single private entity may bid for all airports, but cannot be awarded more than one airport at each region.",A3 
127,Notice of Auction 1/2016 (fourth round of airport concession),"3.10
4.6.3","Foreign companies (if not part of a consortium) must have a legal representative resident and domiciled in Brazil, whose power is delegated by proxy.",A4
128,Notice of Auction 1/2016 (fourth round of airport concession),"3.17
3.18
3.19","Airlines and their related companies cannot participate in the auction (except in a consortium, with a maximum stake of 2% and without participation in corporate governance).",A3 
129,Notice of Auction 1/2016 (fourth round of airport concession),"4.13
4.14","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
POA: at least BRL 42 390 736 
SSA: at least BRL 45 607 648 
FLN: at least BRL 22 695 947 
FOR: at least BRL 35 035 365 ",A3
130,Notice of Auction 1/2016 (fourth round of airport concession),"4.13
4.14","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
POA: at least BRL 42 390 736 
SSA: at least BRL 45 607 648 
FLN: at least BRL 22 695 947 
FOR: at least BRL 35 035 365 ",A4
131,Notice of Auction 1/2016 (fourth round of airport concession),4.29,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A3
132,Notice of Auction 1/2016 (fourth round of airport concession),4.29,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A4
133,Notice of Auction 1/2016 (fourth round of airport concession),4.37,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A2
134,Notice of Auction 1/2016 (fourth round of airport concession),4.37,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A4
135,Notice of Auction 1/2016 (fourth round of airport concession),"4.46
3.11.4",The bidder (or one member of a consortium) must prove a 5-year experience as airport operator having handled at least (i) 9 million passengers at least 1 year in the last 5 years (SSA and POA); (ii) 7 million passengers at least 1 year in the last 5 years (FOR); or (iii) 4 million passengers at least 1 year in the last 5 years (FLN). The airport operator must hold at least 15% stake in the consortium.,A3
