,file_name,text,lang,length
606,PH_RA 10149 GOCC Governance Act 2011,", which shall be attached to the O5ce of the President. The GCG shall have the following powers and functions: (a) Evaluate the performance and determine the relevance of the GOCC, to ascertain whether such GOCC should be reorganized, merged, streamlined, abolished or privatized, in consultation with the department or agency to which a GOCC is attached. For this purpose, the GCG shall be guided by any of the following standards: (1) The functions or purposes for which the GOCC was created are no longer relevant to the State or no longer consistent with the national development policy of the State; (2) The GOCC’s functions or purposes duplicate or unnecessarily overlap with functions, programs, activities or projects already provided by a Government Agency;   Page 7 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM (3) The GOCC is not producing the desired outcomes, or no longer achieving the objectives and purposes for which it was originally designed and implemented, and/or not cost e5cient and does not generate the level of social, physical and economic returns vis-à-vis the resource inputs; (4) The GOCC is in fact dormant or nonoperational; (5) The GOCC is involved in an activity best carried out by the private sector; and (6) The funcitional, purpose or nature of operations of any group of GOCCs require consolidation under a holding company. Upon determination by the GCG that it is to the best interest of the State that a GOCC should be reorganized, merged, streamlined, abolished or privatized, it shall: (i) Implement the reorganization, merger or streamlining of the GOCC, unless otherwise directed by the President; or (ii) Recommend to the President the abolition or privatization of the GOCC, and upon the approval of the President, implement such abolition or privatization, unless the President designates another agency to implement such abolition or privatization. (b) Classify GOCCs into: (1) Developmental/Social Corporations; (2) Proprietary Commercial Corporations; (3) Government Financial, Investment and Trust Institutions; (4) Corporations with Regulatory Functions; and (5) Others as may be classiZed by the GCG, without prejudice to further sub classiZcations in each category and/or any other classiZcation based on parameters as it may Znd relevant or . material such as, but not limited to, industry type. The classiZcation shall guide the GCG in exercising its powers and functions as provided herein; (c) In consultation with the relevant government agencies and stakeholders, adopt within one hundred eighty (180) days from its constitution, an ownership and operations manual and the government corporate standards governing GOCCs: Provided, That the government corporate   Page 8 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM governance standards applicable to GOCCs shall be no less rigorous than those required by the Philippine Stock Exchange or the Securities. and Exchange Commission of listed companies, or those required by the Bangko Sentral ng Pilipinas or the Insurance Commission for banking institutions and insurance companies, as the case may be. The manual shall be consistent with the Medium-Term Philippine Development Plan issued by the National Economic and Development Authority (NEDA) and shall include: (1) Objectives of State ownership; (2) Role of national government in the governance of GOCCs; (3) Modes of implementation of the ownership policy; (4) Guidelines on the monitoring of the operations of all GOCCs including their Related Corporations. These shall include Strategy Maps, Charter Statements, Performance Commitments and such other mechanisms; (5) The roles, relationships and responsibilities of the State, the Government Agencies to which the GOCC is attached, and the GOCC; (6) Disclosure and transparency requirements; (7) Code of Ethics of Directors and O5cers; (8) Creation of board committees and similar oversight bodies; (9) Integrated corporate reporting system; (10) Statement of the social responsibilities of the GOCC; and (11) Such other matters as the GCG may deem proper to include in the ownership policy.   Page 9 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM (d) Without prejudice to the Zling of administrative and criminal charges, recommend to the Board of Directors or Trustees the suspension of any member of the Board of Directors or Trustees who participated by commission or omission in the approval of the act giving rise to the violation or noncompliance with the ownership manual for a period depending on the nature and extent of damage caused, during which period the director or trustee shall not be entitled to any emolument; (e) In addition to the qualiZcations required under the individual charter of the GOCCs and in the bylaws of GOCCs. without original charters, the GCG shall identify necessary skills and qualiZcations required for Appointive Directors and recommend to the President a shortlist of suitable and qualiZed candidates for Appointive Directors; (f) Establish the performance evaluation systems including performance scorecards which shall apply to all GOCCs in general and to the various GOCC classiZcation; (g) Conduct periodic study, examination, evaluation and assessment of the performance of the GOCCs, receive, and in appropriate cases, require reports on the operations and management of the GOCCs including, but not limited to, the management of the assets and Znances of the GOCCs; (h) Conduct compensation studies, develop and recommend to the President a competitive compensation and remuneration system which shall attract and retain talent, at the same time allowing the GOCC to be Znancially sound and sustainable; (i) Provide technical advice and assistance to the government agencies to which the GOCCs are attached in setting performance objectives and targets for the GOCCs and in monitoring",en,854
607,PH_RA 10149 GOCC Governance Act 2011,". 5. Creation of the Governance Commission for Government-Owned or -Controlled Corporations.—There is hereby created a central advisory, monitoring, and oversight body with authority- to formulate, implement and coordinate policies to be known as the Governance Commission for Government-Owned or -Controlled Corporations, hereinafter referred to as the",en,43
609,PH_RA 10149 GOCC Governance Act 2011,". 4. Coverage.—This Act shall be applicable to all GOCCs, GICPs/GCEs, and government Znancial institutions, including their subsidiaries, but excluding the Bangko Sentral ng Pilipinas, state universities and colleges, cooperatives, local water districts, economic zone authorities and research institutions: Provided, That in economic zone authorities and research institutions, the President shall appoint one-third (1/3) of the board members from the list submitted by the GCG.",en,60
611,PH_RA 10149 GOCC Governance Act 2011,"/GCE and GFI as deZned herein. (p) Nonchartered GOCC refers to a GOCC organized and operating under Batas Pambansa Bilang 68, or “The Corporation Code of the Philippines”.   Page 5 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM (q) OBcers refer to the corporate o5cers of the GOCC as provided in its charter or bylaws, such as the CEO, Chief Financial O5cer, Chief Investment O5cer, President, Vice President, General Manager, Treasurer and Corporate Secretary. (r) Ownership Manuals refer to guidelines and rules pertaining to the ownership by the State or corporations and enterprises or the exercise of such ownership governing the GOCCs or any classiZcation thereof. (s) Per Diems refer to the compensation granted to members of the Board of Directors or Trustees of a GOCC for actual attendance in meetings. (t) Performance Evaluation System refers to the process of appraising the accomplishments of GOCCs in a given Zscal year based, on set performance criteria, targets and weights. (u) Performance Scorecard refers to a governance and management tool forming part of the performance evaluation system which consists of a set of measures, targets and. initiatives that facilitate the achievement of breakthrough results and performance through the effective and e5cient monitoring and coordination of the strategic objectives of the GOCC. (v) President refers to the President of the Republic of the Philippines. (w) Related Corporation refers to a subsidiary or a5liate of a GOCC. (x) Secretary refers to the person vested with the authority and responsibility for the exercise of the mandate of the Department, for the discharge of its powers and functions, and who shall have supervision and control of the Department. (y) Strategy Map refers to an integrated set of strategic choices or objectives drawn by the governing body, the successful execution of which results in the achievement of the GOCC’s vision in relation to its mission or purpose for having been created.   Page 6 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM (z) Subsidiary refers to a corporation where at least a majority of the outstanding capital stock is owned or controlled, directly or indirectly, through one or more intermediaries, by the",en,347
612,PH_RA 10149 GOCC Governance Act 2011,". 3. De@nition of Terms.— (a) ABliate refers to a corporation Zfty percent (50%) or less of the outstanding capital stock of which is owned or controlled, directly or indirectly, by the GOCC. (b) Appointive Director refers to: (1) In the case of chartered GOCCs, all members of its Board of Directors/Trustees who are not ex oBcio members thereof; (2) In the case of nonchartered GOCCs, members of its Board of Directors/Trustees whom the State is entitled to nominate, to the extent of its percentage shareholdings in such GOCC; and (3) In the case of subsidiaries and a5liates, members of its Board of Directors/Trustees whom the GOCC is entitled to nominate to the extent of its perrcentage shareholdings in such subsidiary or a5liate. (c) Board of Directors/Trustees or Board refers to the governing body that exercises the corporate powers of a GOCC. (d) Breakthrough Results refer to the achievement of corporate goals or other performance indicators as determined by the GOCC or its supervising department. (e) Charter Statement refers to a statement of the GOCC’s vision, mission and core values.   Page 3 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM (f) Chartered GOCC refers to a GOCC, including Government Financial Institutions, created and vested with functions by a special law. (g) Chief Executive OBcer (CEO) refers to the highest ranking corporate executive, who could be the President or the General Manager, Chairman or the Administrator of a GOCC. (h) Department refers to an executive department created by law. This shall include any instrumentality having or assigned the rank of a department, regardless of its name or designation. (i) Ex OBcio Board Member refers to any individual who sits or acts as a member of the Board of Directors/ Trustees by virtue of one’s title to another o5ce, and without further warrant or appointment. (j) Fit and Proper Rule refers to the standard for determining whether a member of the Board of Directors/ Trustees or CEO is Zt and proper to hold a position in a GOCC which shall include, but not be limited to, standards on integrity, experience, education, training and competence. (k) Government Agency refers to any of the various units of the Government of the Republic of the Philippines, including a department, bureau, o5ce, instrumentality or GOCC, or a local government or a distinct unit therein. (l) Government Corporate Governance Standards refer to a set of principles derived from law and practices, rules and standards prescribed by the Governance Commission for Government-Owned or -Controlled Corporations (GCG) that generate long-term arid desirable economic value for the State. It shall also refer to a system whereby shareholders, creditors, and other stakeholders of a corporation ensure that management enhances the value of the corporation as it competes in an increasingly global market place.   Page 4 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM (m) Government Financial Institutions (GFIs) refer to Znancial institutions or corporations in which the government directly or indirectly owns majority of the capital stock and. which are either: (1) registered with or directly supervised by the Bangko Sentral ng Pilipinas; or (2) collecting or transacting funds or contributions from the public and places them in Znancial instruments or assets such as deposits, loans, bonds and equity including, but not limited to, the Government Service Insurance System and the Social Security System. (n) Government Instrumentalities with Corporate Powers (GICP)/Government Corporate Entities (GCE) refer to instrumentahties or agencies of the government, which are neither corporations nor agencies integrated within the departmental framework, but vested by law with special functions or jurisdiction, endowed with some if not all corporate powers, administering special funds, and enjoying operational autonomy usually through a charter including, but not limited to, the following: the Manila International Airport Authority (MIAA), the Philippine Ports Authority (PPA), the Philippine Deposit Insurance Corporation (PDIC), the Metropolitan Waterworks and Sewerage System (MWSS), the Laguna Lake Development Authority (LLDA), the Philippine Fisheries Development Authority (PFDA), the Bases Conversion and Development Authority (BCDA), the Cebu Port Authority (CPA), the Cagayan de Orb Port Authority, the San Fernando Port Authority, the Local Water Utilities Administration (LWUA) and the Asian Productivity Organization (APO). (o) Government-Owned or -Controlled Corporation (GOCC) refers to any agency organized as a stock or nonstock corporation, vested with functions relating to public needs whether governmental or proprietary in nature, and owned by the Government of the Republic of the Philippines directly or through its instrumentahties either wholly or, where applicable as in the case of stock corporations, to the extent of at least a majority of its outstanding capital stock: Provided, however, That for purposes of this Act, the term “GOCC”- shall include",en,728
613,PH_RA 10149 GOCC Governance Act 2011,". 2. Declaration of Policy.—The State recognizes the potential of government-owned or - controlled corporations (GOCCs) as signiZcant tools for economic development. It is thus the policy of the State to actively exercise its ownership. rights in GOCCs and to promote growth by ensuring that operations are consistent with national development policies and programs. Towards this end, the State shall ensure that: (a) The corporate form of organization through which government carries out activities is utilized judiciously; (b) The operations of GOCCs are rationalized and monitored centrally in order that government assets and resources are used e5ciently and the government exposure to all forms of habilities including subsidies is warranted and incurred through prudent means; (c) The governance of GOCCs is carried out in a transparent, responsible and accountable manner and with the utmost degree of professionalism and effectiveness; (d) A reporting and evaluation system, which will require the periodic disclosure and examination of the operations and management of the GOCCs, their assets and Znances, revenues and expenditures, is enforced; (e) The governing boards of every GOCC and its subsidiaries are competent to carry out its functions, fully accountable to the State as its Zduciary, and acts in the best interest of the State;   Page 2 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM (f) Reasonable, justiZable and appropriate remuneration schemes are adopted for the directors/trustees, o5cers and employees of GOCCs and their subsidiaries to prevent or deter the granting of unconscionable and excessive remuneration packages; and (g) There is a clear separation between the regulatory and proprietary activities of GOCCs, in order to achieve a level playing Zeld with corporations in the private sector performing similar commercial activities for the public.",en,268
616,PH_RA 10149 GOCC Governance Act 2011," INTEREST AND FOR OTHER PURPOSES Be it enacted by the Senate and House of Representatives of the Philippines in Congress assembled:   Page 1 of 23 Republic Act No. 10149 | Official Gazette of the Republic of the Philippines 2/16/23, 8:55 AM",en,39
620,PH_RA 10149 GOCC Governance Act 2011," OF THE PHILIPPINES Congress of the Philippines Metro Manila Fifteenth Congress First Regular Session Begun and held in Metro Manila, on Monday, the twenty-sixth day of July, two thousand ten. [Republic Act No. 10149]",en,28
623,PH_Constitution Republic of the Philippines 1987,ce of the Vice President (  Senate of the Philippines (  House of Representatives (  Supreme Court (  Court of Appeals (  Sandiganbayan (  Managed by ICT Division of the Presidential Communications OTce (PCO) ( )   Page 76 of 76,en,32
629,PH_Constitution Republic of the Philippines 1987," OF THE PHILIPPINES All content is in the public domain unless otherwise stated.   Page 75 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM Feedback Form (  (  (  Policy (  Contact numbers/Trunk lines: 8734-74-20 | 8734-59-66 Local 134",en,46
630,PH_Constitution Republic of the Philippines 1987," 27. This Constitution shall take effect immediately upon its ratibcation by a majority of the votes cast in a plebiscite held for the purpose and shall supersede all previous Constitutions. Ratibed: February 2, 1987 Source: CDAsia ( ",en,34
631,PH_Constitution Republic of the Philippines 1987," 26. The authority to issue sequestration or freeze orders under Proclamation No. 3 dated March 25, 1986 in relation to the recovery of ill-gotten wealth shall remain operative for not more than eighteen months after the ratibcation of this Constitution. However, in the national interest, as certibed by the President, the Congress may extend said period.   Page 74 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM A sequestration or freeze order shall be issued only upon showing of a prima facie case. The order and the list of the sequestered or frozen properties shall forthwith be registered with the proper court. For orders issued before the ratibcation of this Constitution, the corresponding judicial action or proceeding shall be bled within six months from its ratibcation. For those issued after such ratibcation, the judicial action or proceeding shall be commenced within six months from the issuance thereof. The sequestration or freeze order is deemed automatically lifted if no judicial action or proceeding is commenced as herein provided.",en,169
632,PH_Constitution Republic of the Philippines 1987," 25. After the expiration in 1991 of the Agreement between the Republic of the Philippines and the United States of America concerning Military Bases, foreign military bases, troops, or facilities shall not be allowed in the Philippines except under a treaty duly concurred in by the Senate and, when the Congress so requires, ratibed by a majority of the votes cast by the people in a national referendum held for that purpose, and recognized as a treaty by the other contracting State.",en,77
633,PH_Constitution Republic of the Philippines 1987," 24. Private armies and other armed groups not recognized by duly constituted authority shall be dismantled. All paramilitary forces including Civilian Home Defense Forces not consistent with the citizen armed force established in this Constitution, shall be dissolved or, where appropriate, converted into the regular force.",en,43
634,PH_Constitution Republic of the Philippines 1987," 23. Advertising entities affected by paragraph (2), Section 11 of Article XVI of this Constitution shall have bve years from its ratibcation to comply on a graduated and proportionate basis with the minimum Filipino ownership requirement therein.",en,35
635,PH_Constitution Republic of the Philippines 1987," 22. At the earliest possible time, the Government shall expropriate idle or abandoned agricultural lands as may be debned by law, for distribution to the benebciaries of the agrarian reform program.",en,29
636,PH_Constitution Republic of the Philippines 1987," 21. The Congress shall provide eTcacious procedures and adequate remedies for the reversion to the State of all lands of the public domain and real rights connected therewith which were acquired in violation of the Constitution or the public land laws, or through corrupt practices. No transfer or disposition of such lands or real rights shall be allowed until after the lapse of one year from the ratibcation of this Constitution.",en,67
637,PH_Constitution Republic of the Philippines 1987," 20. The brst Congress shall give priority to the determination of the period for the full implementation of free public secondary education.   Page 73 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM",en,45
638,PH_Constitution Republic of the Philippines 1987," 19. All properties, records, equipment, buildings, facilities, and other assets of any oTce or body abolished or reorganized under Proclamation No. 3 dated March 25, 1986 or this Constitution shall be transferred to the oTce or body to which its powers, functions, and responsibilities substantially pertain.",en,43
639,PH_Constitution Republic of the Philippines 1987," 18. At the earliest possible time, the Government shall increase the salary scales of the other oTcials and employees of the National Government.",en,22
640,PH_Constitution Republic of the Philippines 1987," 17. Until the Congress provides otherwise, the President shall receive an annual salary of three hundred thousand pesos; the Vice-President, the President of the Senate, the Speaker of the House of Representatives, and the Chief Justice of the Supreme Court, two hundred forty thousand pesos each; the Senators, the Members of the House of Representatives, the Associate Justices of the Supreme Court, and the Chairmen of the Constitutional Commissions, two hundred four thousand pesos each; and the Members of the Constitutional Commissions, one hundred eighty thousand pesos each.",en,82
641,PH_Constitution Republic of the Philippines 1987," 16. Career civil service employees separated from the service not for cause but as a result of the reorganization pursuant to Proclamation No. 3 dated March 25, 1986 and the reorganization following the ratibcation of this Constitution shall be entitled to appropriate separation pay and to retirement and other benebts accruing to them under the laws of general application in force at the time of their separation. In lieu thereof, at the option of the employees, they may be considered for employment in the Government or in any of its subdivisions, instrumentalities, or agencies, including government-owned or controlled corporations and their subsidiaries. This provision also applies to career oTcers whose resignation, tendered in line with the existing policy, had been accepted.",en,113
642,PH_Constitution Republic of the Philippines 1987," 15. The incumbent Members of the Civil Service Commission, the Commission on Elections, and the Commission on Audit shall continue in oTce for one year after the ratibcation of this Constitution, unless they are sooner removed for cause or become incapacitated to   Page 72 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM discharge the duties of their oTce or appointed to a new term thereunder. In no case shall any Member serve longer than seven years including service before the ratibcation of this Constitution.",en,93
643,PH_Constitution Republic of the Philippines 1987," 14. The provisions of paragraphs (3) and (4), Section 15 of Article VIII of this Constitution shall apply to cases or matters bled before the ratibcation of this Constitution, when the applicable period lapses after such ratibcation.",en,35
644,PH_Constitution Republic of the Philippines 1987," 13. The legal effect of the lapse, before the ratibcation of this Constitution, of the applicable period for the decision or resolution of the cases or matters submitted for adjudication by the courts, shall be determined by the Supreme Court as soon as practicable.",en,42
645,PH_Constitution Republic of the Philippines 1987," 12. The Supreme Court shall, within one year after the ratibcation of this Constitution, adopt a systematic plan to expedite the decision or resolution of cases or matters pending in the Supreme Court or the lower courts prior to the effectivity of this Constitution. A similar plan shall be adopted for all special courts and quasi-judicial bodies.",en,54
646,PH_Constitution Republic of the Philippines 1987, 11. The incumbent Members of the Judiciary shall continue in oTce until they reach the age of seventy years or become incapacitated to discharge the duties of their oTce or are removed for cause.,en,32
647,PH_Constitution Republic of the Philippines 1987," 10. All courts existing at the time of the ratibcation of this Constitution shall continue to exercise their jurisdiction, until otherwise provided by law. The provisions of the existing Rules of Court, judiciary acts, and procedural laws not inconsistent with this Constitution shall remain operative unless amended or repealed by the Supreme Court or the Congress.",en,53
648,PH_Constitution Republic of the Philippines 1987, 9. A sub-province shall continue to exist and operate until it is converted into a regular province or until its component municipalities are reverted to the mother province.,en,27
649,PH_Constitution Republic of the Philippines 1987," 8. Until otherwise provided by the Congress, the President may constitute the Metropolitan Authority to be composed of the heads of all local government units comprising the Metropolitan Manila area.",en,28
650,PH_Constitution Republic of the Philippines 1987," 7. Until a law is passed, the President may bll by appointment from a list of nominees by the respective sectors the seats reserved for sectoral representation in paragraph (2), Section 5 of Article VI of this Constitution.   Page 71 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM",en,60
652,PH_Constitution Republic of the Philippines 1987," 5. The six-year term of the incumbent President and Vice-President elected in the February 7, 1986 election is, for purposes of synchronization of elections, hereby extended to noon of June 30, 1992. The brst regular elections for the President and Vice-President under this Constitution shall be held on the second Monday of May, 1992.",en,50
653,PH_Constitution Republic of the Philippines 1987, 4. All existing treaties or international agreements which have not been ratibed shall not be renewed or extended without the concurrence of at least two-thirds of all the Members of the Senate.,en,30
654,PH_Constitution Republic of the Philippines 1987," 3. All existing laws, decrees, executive orders, proclamations, letters of instructions, and other executive issuances not inconsistent with this Constitution shall remain operative until amended, repealed, or revoked.",en,26
655,PH_Constitution Republic of the Philippines 1987," 2. The Senators, Members of the House of Representatives, and the local oTcials brst elected under this Constitution shall serve until noon of June 30, 1992. Of the Senators elected in the election of 1992, the brst twelve obtaining the highest number of votes shall serve for six years and the remaining twelve for three years.",en,53
656,PH_Constitution Republic of the Philippines 1987," 1. The brst elections of Members of the Congress under this Constitution shall be held on the second Monday of May, 1987.   Page 70 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM The brst local elections shall be held on a date to be determined by the President, which may be simultaneous with the election of the Members of the Congress. It shall include the election of all Members of the city or municipal councils in the Metropolitan Manila area.",en,90
658,PH_Constitution Republic of the Philippines 1987," 4. Any amendment to, or revision of, this Constitution under Section 1 hereof shall be valid when ratibed by a majority of the votes cast in a plebiscite which shall be held not earlier than sixty days nor later than ninety days after the approval of such amendment or revision. Any amendment under Section 2 hereof shall be valid when ratibed by a majority of the votes cast in a plebiscite which shall be held not earlier than sixty days nor later than ninety days after the certibcation by the Commission on Elections of the suTciency of the petition.",en,94
659,PH_Constitution Republic of the Philippines 1987," 3. The Congress may, by a vote of two-thirds of all its Members, call a constitutional convention, or by a majority vote of all its Members, submit to the electorate the question of calling such a convention.",en,35
660,PH_Constitution Republic of the Philippines 1987," 2. Amendments to this Constitution may likewise be directly proposed by the people through initiative upon a petition of at least twelve per centum of the total number of registered voters, of which every legislative district must be represented by at least three per centum of the registered voters therein. No amendment under this section shall be authorized within bve years following the ratibcation of this Constitution nor oftener than once every bve years thereafter. The Congress shall provide for the implementation of the exercise of this right.",en,83
661,PH_Constitution Republic of the Philippines 1987," 1. Any amendment to, or revision of, this Constitution may be proposed by:   Page 69 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM (1) The Congress, upon a vote of three-fourths of all its Members; or (2) A constitutional convention.",en,52
663,PH_Constitution Republic of the Philippines 1987," 12. The Congress may create a consultative body to advise the President on policies affecting indigenous cultural communities, the majority of the members of which shall come from such communities.",en,28
664,PH_Constitution Republic of the Philippines 1987," 11. (1) The ownership and management of mass media shall be limited to citizens of the Philippines, or to corporations, cooperatives or associations, wholly-owned and managed by such citizens. The Congress shall regulate or prohibit monopolies in commercial mass media when the public interest so requires. No combinations in restraint of trade or unfair competition therein shall be allowed. (2) The advertising industry is impressed with public interest, and shall be regulated by law for the protection of consumers and the promotion of the general welfare. Only Filipino citizens or corporations or associations at least seventy per centum of the capital of which is owned by such citizens shall be allowed to engage in the advertising industry. The participation of foreign investors in the governing body of entities in such industry shall be limited to their proportionate share in the capital thereof, and all the executive and managing oTcers of such entities must be citizens of the Philippines.",en,146
665,PH_Constitution Republic of the Philippines 1987," 10. The State shall provide the policy environment for the full development of Filipino capability and the emergence of communication structures suitable to the needs and aspirations of the nation and the balanced ^ow of information into, out of, and across the country, in accordance with a policy that respects the freedom of speech and of the press.",en,55
666,PH_Constitution Republic of the Philippines 1987," 9. The State shall protect consumers from trade malpractices and from substandard or hazardous products.   Page 68 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM",en,38
667,PH_Constitution Republic of the Philippines 1987," 8. The State shall, from time to time, review to upgrade the pensions and other benebts due to retirees of both the government and the private sectors.",en,26
668,PH_Constitution Republic of the Philippines 1987," 7. The State shall provide immediate and adequate care, benebts, and other forms of assistance to war veterans and veterans of military campaigns, their surviving spouses and orphans. Funds shall be provided therefor and due consideration shall be given them in the disposition of agricultural lands of the public domain and, in appropriate cases, in the utilization of natural resources.",en,56
669,PH_Constitution Republic of the Philippines 1987," 6. The State shall establish and maintain one police force, which shall be national in scope and civilian in character, to be administered and controlled by a national police commission. The authority of local executives over the police units in their jurisdiction shall be provided by law.",en,44
670,PH_Constitution Republic of the Philippines 1987," 5. (1) All members of the armed forces shall take an oath or aTrmation to uphold and defend this Constitution. (2) The State shall strengthen the patriotic spirit and nationalist consciousness of the military, and respect for people’s rights in the performance of their duty. (3) Professionalism in the armed forces and adequate remuneration and benebts of its members shall be a prime concern of the State. The armed forces shall be insulated from partisan politics. No member of the military shall engage directly or indirectly in any partisan political activity, except to vote.   Page 67 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM (4) No member of the armed forces in the active service shall, at any time, be appointed or designated in any capacity to a civilian position in the Government including government-owned or controlled corporations or any of their subsidiaries. (5) Laws on retirement of military oTcers shall not allow extension of their service. (6) The oTcers and men of the regular force of the armed forces shall be recruited proportionately from all provinces and cities as far as practicable. (7) The tour of duty of the Chief of Staff of the armed forces shall not exceed three years. However, in times of war or other national emergency declared by the Congress, the President may extend such tour of duty.",en,221
671,PH_Constitution Republic of the Philippines 1987," 4. The Armed Forces of the Philippines shall be composed of a citizen armed force which shall undergo military training and serve, as may be provided by law. It shall keep a regular force necessary for the security of the State.",en,39
673,PH_Constitution Republic of the Philippines 1987," 2. The Congress may, by law, adopt a new name for the country, a national anthem, or a national seal, which shall all be truly re^ective and symbolic of the ideals, history, and traditions of the people. Such law shall take effect only upon its ratibcation by the people in a national referendum.",en,50
674,PH_Constitution Republic of the Philippines 1987," 1. The ^ag of the Philippines shall be red, white, and blue, with a sun and three stars, as consecrated and honored by the people and recognized by law.",en,28
676,PH_Constitution Republic of the Philippines 1987, 4. The family has the duty to care for its elderly members but the State may also do so through just programs of social security.,en,24
677,PH_Constitution Republic of the Philippines 1987," 3. The State shall defend: (1) The right of spouses to found a family in accordance with their religious convictions and the demands of responsible parenthood; (2) The right of children to assistance, including proper care and nutrition, and special protection from all forms of neglect, abuse, cruelty, exploitation, and other conditions prejudicial to their development; (3) The right of the family to a family living wage and income; and (4) The right of families or family associations to participate in the planning and implementation of policies and programs that affect them.   Page 66 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM",en,108
679,PH_Constitution Republic of the Philippines 1987," 1. The State recognizes the Filipino family as the foundation of the nation. Accordingly, it shall strengthen its solidarity and actively promote its total development.",en,24
681,PH_Constitution Republic of the Philippines 1987," 19. (1) The State shall promote physical education and encourage sports programs, league competitions, and amateur sports, including training for international competitions, to foster self-discipline, teamwork, and excellence for the development of a healthy and alert citizenry. (2) All educational institutions shall undertake regular sports activities throughout the country in cooperation with athletic clubs and other sectors.",en,52
682,PH_Constitution Republic of the Philippines 1987," 18. (1) The State shall ensure equal access to cultural opportunities through the educational system, public or private cultural entities, scholarships, grants and other incentives, and community cultural centers, and other public venues. (2) The State shall encourage and support researches and studies on the arts and culture. Sports   Page 65 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM",en,69
683,PH_Constitution Republic of the Philippines 1987," 17. The State shall recognize, respect, and protect the rights of indigenous cultural communities to preserve and develop their cultures, traditions, and institutions. It shall consider these rights in the formulation of national plans and policies.",en,34
684,PH_Constitution Republic of the Philippines 1987, 16. All the country’s artistic and historic wealth constitutes the cultural treasure of the nation and shall be under the protection of the State which may regulate its disposition.,en,28
685,PH_Constitution Republic of the Philippines 1987," 15. Arts and letters shall enjoy the patronage of the State. The State shall conserve, promote, and popularize the nation’s historical and cultural heritage and resources, as well as artistic creations.",en,29
686,PH_Constitution Republic of the Philippines 1987," 14. The State shall foster the preservation, enrichment, and dynamic evolution of a Filipino national culture based on the principle of unity in diversity in a climate of free artistic and intellectual expression.",en,31
687,PH_Constitution Republic of the Philippines 1987," 13. The State shall protect and secure the exclusive rights of scientists, inventors, artists, and other gifted citizens to their intellectual property and creations, particularly when benebcial to the people, for such period as may be provided by law. Arts and Culture",en,39
688,PH_Constitution Republic of the Philippines 1987," 12. The State shall regulate the transfer and promote the adaptation of technology from all sources for the national benebt. It shall encourage the widest participation of private groups, local governments, and community-based organizations in the generation and utilization of science and technology.",en,40
689,PH_Constitution Republic of the Philippines 1987," 11. The Congress may provide for incentives, including tax deductions, to encourage private participation in programs of basic and applied scientibc research. Scholarships, grants-in- aid, or other forms of incentives shall be provided to deserving science students, researchers, scientists, inventors, technologists, and specially gifted citizens.   Page 64 of 76 The Constitution of the Republic of the Philippines | Official Gazette of the Republic of the Philippines 2/16/23, 8:44 AM",en,66
690,PH_Constitution Republic of the Philippines 1987," 10. Science and technology are essential for national development and progress. The State shall give priority to research and development, invention, innovation, and their utilization; and to science and technology education, training, and services. It shall support indigenous, appropriate, and self-reliant scientibc and technological capabilities, and their application to the country’s productive systems and national life.",en,52
691,PH_Constitution Republic of the Philippines 1987," 9. The Congress shall establish a national language commission composed of representatives of various regions and disciplines which shall undertake, coordinate, and promote researches for the development, propagation, and preservation of Filipino and other languages. Science and Technology",en,34
