,Law,Text,Category,Category_New,text_clean
20,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"• Economic and financial timetables relating to the use of economic resources for the production of a vessel, such as cutting boards and building blocks; at the end of the second year at least 40 % (40 %) of the production of a ship built, with the exception of force majeure recognised by AttaQ; there were no delays, with the exception of force majeures recognised by AttaQ, with a variation of more than 20 % (twenty %) of the physical and financial timetable.",AAdministrativeburden,Others,• econom and financi timet relat to the use of econom resourc for the product of a vessel such a cut board and build block at the end of the second year at least of the product of a ship built with the except of forc majeur recognis by attaq there were no delay with the except of forc majeur recognis by attaq with a variat of more than twenti of the physic and financi timet
21,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The financial schedule, linked to the application of financial resources in the production of ships, such as cutting plates and building blocks; at the end of the second year with at least 40% (forty per cent) of the production of the constructed vessel, except for force majeure reasons recognized by ANTAQ; no accumulated delay, except for force majeure reasons recognized by ANTAQ, with a variation of more than 20 per cent (eight per cent) of the physical and financial schedule.",AAdministrativeburden,Others,the financi schedul link to the applic of financi resourc in the product of ship such a cut plate and build block at the end of the second year with at least forti per cent of the product of the construct vessel except for forc majeur reason recogn by antaq no accumul delay except for forc majeur reason recogn by antaq with a variat of more than per cent eight per cent of the physic and financi schedul
22,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"PRESIDENT. — The next item is the joint debate on the report (Doc. A 2-215/88) by Mr De Clercq, on behalf of the Committee on Economic and Monetary Affairs and Industrial Policy, on the proposal from the Commission to the Council (COM(88) 331 final — Doc.",AAdministrativeburden,Others,presid — the next item is the joint debat on the report doc a 2-215/88 by mr de clercq on behalf of the committe on econom and monetari affair and industri polici on the propos from the commiss to the council com final — doc
23,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"(Applause.) At the end of the second year of construction work, at the end of at least 40% for building, but apart from the causes of control, there's no delay, but because of power force, more than one change has been recognized, that for more than twenty percent of time, and more than twenty percent for a physical unit.",AAdministrativeburden,Others,applaus at the end of the second year of construct work at the end of at least for build but apart from the caus of control there 's no delay but becaus of power forc more than one chang ha been recogn that for more than twenti percent of time and more than twenti percent for a physic unit
24,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"For example, the financial support must be asked to connect to certain ways of financial support and the type of 20 years on the end of the year (i.g. the following).",AAdministrativeburden,Others,for exampl the financi support must be ask to connect to certain way of financi support and the type of year on the end of the year i.g the follow
25,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"Ethnic cal and financial schedules, associated with the application of financial resources in the production of ships, such as plate cuts and building blocks; at the end of the second year with at least 40% (for 40 percent) the production of ships that were built, except for the reasons of the majeure being recognized by ANTAQ, did not accumulate delays, except for the force recognized by ANTAQ, with greater variations of 20% (twenty percent) of the physical and financial schedules.",AAdministrativeburden,Others,ethnic cal and financi schedul associ with the applic of financi resourc in the product of ship such a plate cut and build block at the end of the second year with at least for percent the product of ship that were built except for the reason of the majeur be recogn by antaq did not accumul delay except for the forc recogn by antaq with greater variat of twenti percent of the physic and financi schedul
26,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The financial and financial programme, linked to the application of financial resources in the production of ships, such as the cutting of slabs and building blocks; at the end of the second year with at least 40% (forty per cent) of the production of the built ship, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation greater than 20% (twenty per cent) of the physical and financial program.",AAdministrativeburden,Others,the financi and financi programm link to the applic of financi resourc in the product of ship such a the cut of slab and build block at the end of the second year with at least forti per cent of the product of the built ship except for reason of forc majeur recogn by antaq no accumul delay except for reason of forc majeur recogn by antaq with a variat greater than twenti per cent of the physic and financi program
27,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"• Coil and financial schedule relating to the use of financial resources in the production of ships, such as cutting plates and building blocks; at the end of the second year, at least 40 per cent (forty per cent) of the production of constructed vessels, with the exception of force majeure circumstances recognized by ANTAC; except for force majeure, there were no delays, with the exception of force majeure, with a deviation of more than 20 per cent (twenty per cent) from the physical and financial schedule.",AAdministrativeburden,Others,• coil and financi schedul relat to the use of financi resourc in the product of ship such a cut plate and build block at the end of the second year at least per cent forti per cent of the product of construct vessel with the except of forc majeur circumst recogn by antac except for forc majeur there were no delay with the except of forc majeur with a deviat of more than per cent twenti per cent from the physic and financi schedul
28,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"Cal and financial calendar, linked to the application of financial resources in the production of ships, such as cutting plates and building blocks; at the end of the second year with at least 40% (40 percent) of the production of the ship constructed, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation of more than 20% (twenty percent) of the physical and financial calendar.",AAdministrativeburden,Others,cal and financi calendar link to the applic of financi resourc in the product of ship such a cut plate and build block at the end of the second year with at least percent of the product of the ship construct except for reason of forc majeur recogn by antaq no accumul delay except for reason of forc majeur recogn by antaq with a variat of more than twenti percent of the physic and financi calendar
29,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"Φ At the end of the second year with at least 40% (40%) of the production of the built vessel, except for force majeure recognised by ANTAQ; no accumulated delay, except due to force majeure recognised by ANTAQ, with a variation greater than 20% (twenty percent) of the physical and financial schedule.",AAdministrativeburden,Others,φ at the end of the second year with at least of the product of the built vessel except for forc majeur recognis by antaq no accumul delay except due to forc majeur recognis by antaq with a variat greater than twenti percent of the physic and financi schedul
30,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The sludge and the financial plan, combined with the use of financial resources in the production of vessels such as dividing boards and building blocks; at the end of the second year with at least 40% (forty per cent) of the production of the built vessel, except for reasons of force majeure recognised by ANTAQ; no accumulated delay, except for reasons of force majeure recognised by ANTAQ, with a variation of more than 20% (twenty per cent) of the physical and financial plan.",AAdministrativeburden,Others,the sludg and the financi plan combin with the use of financi resourc in the product of vessel such a divid board and build block at the end of the second year with at least forti per cent of the product of the built vessel except for reason of forc majeur recognis by antaq no accumul delay except for reason of forc majeur recognis by antaq with a variat of more than twenti per cent of the physic and financi plan
31,Decree 2.256/1997 Brazilian Special Registry,"The financing to the Brazilian shipping company, through an official financial agent, to finance a vessel pre-registered with REB, will have an interest rate similar to that of the vessel for export, to be equalised by the Merchant Marine Fund. The same conditions are established for conversion, modernisation and repair.",A,A,the financ to the brazilian ship compani through an offici financi agent to financ a vessel pre-regist with reb will have an interest rate similar to that of the vessel for export to be equalis by the merchant marin fund the same condit are establish for convers modernis and repair
32,Reglamento de Insumos para la Salud,The importation of biological and blood-related products produced abroad requires an authorisation from the Ministry of Health. The requirements are summarised at: www.gob.mx/tramites/ficha/permiso-sanitario-de-importacion-de-medicamentos-con-registro- sanitario/COFEPRIS689.,A,A,the import of biolog and blood-rel product produc abroad requir an authoris from the ministri of health the requir are summaris at www.gob.mx/tramites/ficha/permiso-sanitario-de-importacion-de-medicamentos-con-registro- sanitario/cofepris689
33,Resolution 18/2006 by National Petroleum Agency - Fuel,"Tied (branding) or independent resellers must only deliver aviation fuels: (i) directly on the aircraft tank; (ii) at a supply point facility, with an environmental licence issued by the competent body; or (iii) in containers or drums, as long as the consumer demonstrates the product will supply an aircraft registered by the competent body.",A,A,tie brand or independ resel must onli deliv aviat fuel i directli on the aircraft tank ii at a suppli point facil with an environment licenc issu by the compet bodi or iii in contain or drum a long a the consum demonstr the product will suppli an aircraft regist by the compet bodi
34,Regulation (RBAC) 141/2019 by National Civil Aviation Agency – Civil aviation schools,ANAC may accredit examiners from a civil aviation instruction centre (CIAC) to give practical tests.,A,A,anac may accredit examin from a civil aviat instruct centr ciac to give practic test
35,Resolution 192/2011 by National Civil Aviation Agency - Concessions,"The authorization for the presentation of projects, studies, surveys or investigations: will not by itself create any right to compensation for the amounts involved in its elaboration; and",None,None,the author for the present of project studi survey or investig will not by itself creat ani right to compens for the amount involv in it elabor and
36,Law 7565/1986 - Brazilian Aeronautical Code,"Foreign airworthiness certificates that meet the requirements provided for in the regulation mentioned in the previous paragraph, and the internationally accepted conditions, may be validated.",None,None,foreign airworthi certif that meet the requir provid for in the regul mention in the previou paragraph and the intern accept condit may be valid
37,Decree Law  270/1967 - Air Fund,There will be a public tender for leasing airport areas for provision of services to the general public of the airport.,A,A,there will be a public tender for lea airport area for provis of servic to the gener public of the airport
38,State transport documents,"Thus, transport documents constitute an unnecessary double control.",A,A,thu transport document constitut an unnecessari doubl control
39,Decree 70198/1972 - tax for the use of the lighthouse,"Foreign ships that demand the use of Brazilian ports, coming from foreign or national ports, with cargo or ballast, carrying passengers or not, are obliged to pay the tariff for the use of lighthouses.",A,A,foreign ship that demand the use of brazilian port come from foreign or nation port with cargo or ballast carri passeng or not are oblig to pay the tariff for the use of lighthous
40,Law 5862/1972 - Infraero,"X - to enter into contracts and agreements with agencies of the Direct and Indirect Administration of the Ministry of Aeronautics, to provide specialized technical services;",None,None,x to enter into contract and agreement with agenc of the direct and indirect administr of the ministri of aeronaut to provid special technic servic
41,Decree 92319/1986 - Foreign air transport companies,"Instead of setting up of agencies, branches or subsidiaries, foreign companies not operating in the country may designate a Brazilian company as a general representative in Brazil, which needs an authorisation to operate from the Ministry of Aeronautics [today, ANAC]. The request must attach the following documents: (a) the company’s bylaws and (b) the contract of representation, translated into Portuguese.",A,A,instead of set up of agenc branch or subsidiari foreign compani not oper in the countri may design a brazilian compani a a gener repres in brazil which need an authoris to oper from the ministri of aeronaut today anac the request must attach the follow document a the compani ’ s bylaw and b the contract of represent translat into portugues
42,Law 7565/1986 - Brazilian Aeronautical Code,"During the voyage, the Commander is responsible, as far as the crew is concerned, for compliance with the professional regulations regarding: I - limit of the working day; II - flight limits; III - rest intervals; IV - food supply.",None,None,dure the voyag the command is respons a far a the crew is concern for complianc with the profession regul regard i limit of the work day ii flight limit iii rest interv iv food suppli
43,Resolution 71/2022 (Former Normative Resolution by ANTAQ 20/2018) - Private Terminal,"An authorisation for construction and operation of a port facility will be formalised through an adhesion contract signed between the granting authority and the authorising agent, with the intervention of ANTAQ. It will contain as essential clauses, such as performance guarantee and technical requirements. ",A,A,an authoris for construct and oper of a port facil will be formalis through an adhes contract sign between the grant author and the authoris agent with the intervent of antaq it will contain a essenti claus such a perform guarante and technic requir
44,Resolution 491/2018 by National Civil Aviation Agency - Brazilian companies,The procedure comprises the consultation to the other Brazilian air carriers.,A,A,the procedur compris the consult to the other brazilian air carrier
45,Resolution 17/2006 by National Petroleum Agency - Fuel,"of the operation, as well as the geographic regions where the firm intends to operate.",A,A,of the oper a well a the geograph region where the firm intend to oper
46,Reglamento de Insumos para la Salud,"The latter are authorised by COFEPRIS to support the authorities in health control and surveillance through the performance of various analytical tests, in order to verify compliance with law or to carry out studies on bioequivalence and/or biocomparability.",A,A,the latter are authoris by cofepri to support the author in health control and surveil through the perform of variou analyt test in order to verifi complianc with law or to carri out studi on bioequival and/or biocompar
47,Resolution 508/2019 by National Civil Aviation Agency - Airport Tariff - Infraero,"Charged Passengers: Passengers who board at the airport, including connecting passengers, who do not have any tariff exemptions or benefits provided for in laws or normative acts in effect;",None,None,charg passeng passeng who board at the airport includ connect passeng who do not have ani tariff exempt or benefit provid for in law or norm act in effect
48,Regulation (RBHA) 63/2006 by Department of Civil Aviation - Flight mechanic and flight attendant licences,"To obtain a flight mechanic licence, one must meet different requirements, concerning (i) age (21 years old); (ii) educational level (secondary school); (iii) Portuguese proficiency; (iv) medical exam; (v) theoretical knowledge (passing a course homologated by ANAC and passing a theoretical test conducted by ANAC or an authorised school); (vi) experience (passing a training course homologated by ANAC, including minimum flight hours); and (vii) practical skills test (conducted by ANAC or an autho",A,A,to obtain a flight mechan licenc one must meet differ requir concern i age year old ii educ level secondari school iii portugues profici iv medic exam v theoret knowledg pas a cours homolog by anac and pas a theoret test conduct by anac or an authoris school vi experi pas a train cours homolog by anac includ minimum flight hour and vii practic skill test conduct by anac or an autho
49,Law 7565/1986 - Brazilian Aeronautical Code,"When the Union deactivates the airport because it becomes unnecessary, the use of the goods referred to in the previous paragraph will be returned to the owner, with the respective accessions.",None,None,when the union deactiv the airport becaus it becom unnecessari the use of the good refer to in the previou paragraph will be return to the owner with the respect access
50,Resolution 17/2006 by National Petroleum Agency - Fuel,ion; and (vi) proof of enrolment on the National Register of Legal Entities (CNPJ).,A,A,ion and vi proof of enrol on the nation regist of legal entiti cnpj
51,Decree 8.033/2013- Decree-Law of Ports,"ther legal instrument that ensures the right to use and enjoy the land; documentation proving its regularity before the federal, state and municipal treasuries at the headquarters of the legal entity and the Employee Severance Guarantee Fund - FGTS; and favourable opinion of the maritime authority, which must respond to the consultation within a period not exceeding fifteen days.",A,A,ther legal instrument that ensur the right to use and enjoy the land document prove it regular befor the feder state and municip treasuri at the headquart of the legal entiti and the employe sever guarante fund fgt and favour opinion of the maritim author which must respond to the consult within a period not exceed fifteen day
52,Normative Resolution 13/2016 by ANTAQ - waterways transport,"Installations with access to the waterway for the construction and/or ship repair, and also used in the movement and/or storage of goods, destined for or coming from waterway transportation, will be subject to an authorisation.",A,A,instal with access to the waterway for the construct and/or ship repair and also use in the movement and/or storag of good destin for or come from waterway transport will be subject to an authoris
53,Law 13475/2017 - Aeronaut profession,The pilot hired by a flight school to provide flight training is called flight instructor.,A,A,the pilot hire by a flight school to provid flight train is call flight instructor
54,Resolution 192/2011 by National Civil Aviation Agency - Concessions,"Intermediate deadlines may be established for the presentation of information and progress reports on the development of projects, studies, surveys or investigations.",None,None,intermedi deadlin may be establish for the present of inform and progress report on the develop of project studi survey or investig
55,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","the United States) grant Mexican meat the lowest classification, independent of its actual quality.",B,B,the unit state grant mexican meat the lowest classif independ of it actual qualiti
56,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The United States) gives Mexican meat the lowest classification, regardless of actual quality.",B,B,the unit state give mexican meat the lowest classif regardless of actual qualiti
57,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The United States of America) provides Mexican meat with the lowest classification, regardless of its true quality.",B,B,the unit state of america provid mexican meat with the lowest classif regardless of it true qualiti
58,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The United States of America) grants Mexican meat the lowest classification, regardless of its actual quality.",B,B,the unit state of america grant mexican meat the lowest classif regardless of it actual qualiti
59,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The United States has given Mexican meat the lowest classification, without true quality.",B,B,the unit state ha given mexican meat the lowest classif without true qualiti
60,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","United States) give Mexican meat the lowest classification, regardless of its actual quality.",B,B,unit state give mexican meat the lowest classif regardless of it actual qualiti
61,Concession Contract 001/ANAC/2019 - Northeast Block, general aviation).,B,B,gener aviat
62,Concession Contract 001/ANAC/2019 - Northeast Block,• general aviation).,B,B,• gener aviat
63,Concession Contract 001/ANAC/2019 - Northeast Block,[ Credit Line],B,B,credit line
64,Concession Contract 001/ANAC/2019 - Northeast Block,• General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation • General aviation,B,B,• gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat • gener aviat
65,Concession Contract 001/ANAC/2019 - Northeast Block,==References====External links==,B,B,==references====extern links==
66,Concession Contract 001/ANAC/2019 - Northeast Block,General aviation).,B,B,gener aviat
67,Law 13475/2017 - Aeronaut profession,"In the absence of Brazilian crew members, foreign instructors may be provisionally admitted as crew members (for no longer than the period of instruction).",A,A,in the absenc of brazilian crew member foreign instructor may be provision admit a crew member for no longer than the period of instruct
68,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal DOF 21-05-2012,"SAGARPA can prohibit or restrict imports of animals and related products in case of a zoosanitary emergency; it can also establish quarantine or conduct inspections of products entering Mexico According to the Reglamento de la Lev Federal de Sanidad Animal a zoosanitary emergency is a situation where, due to the high prevalence of an animal disease, there is a risk of introduction of this disease into the Mexican territory, which consequently would have a large economic impact, reduce productivi",A,A,sagarpa can prohibit or restrict import of anim and relat product in case of a zoosanitari emerg it can also establish quarantin or conduct inspect of product enter mexico accord to the reglamento de la lev feder de sanidad anim a zoosanitari emerg is a situat where due to the high preval of an anim diseas there is a risk of introduct of thi diseas into the mexican territori which consequ would have a larg econom impact reduc productivi
69,Concession Contract - Rio de Janeiro/Galeão International Airport,"Merger, acquisition, de-merger or reduction of capital of the concessionaire is subject to approval by ANAC and CADE (if applicable).",A,A,merger acquisit de-merg or reduct of capit of the concessionair is subject to approv by anac and cade if applic
70,Law 12.815/2013 - Law of Ports,The legislation gives OGMO exclusive management of port-worker training in public ports.,A,A,the legisl give ogmo exclus manag of port-work train in public port
71,State transport documents,"Sometimes, in addition to transport documents, state governments also require the payment of disinfection certificates and entry permits.",A,A,sometim in addit to transport document state govern also requir the payment of disinfect certif and entri permit
72,Law 7565/1986 - Brazilian Aeronautical Code,Sipaer sources are: - recordings of communications between air traffic control agencies and their transcripts; II - recordings of cockpit conversations and their transcripts; III - data from voluntary occurrence reporting systems; IV - recordings of communications between the aircraft and air traffic control agencies and their transcripts; V - recordings of flight data and the charts and parameters extracted or transcribed from them or extracted and transcribed; VI - data from automatic and manu,None,None,sipaer sourc are record of commun between air traffic control agenc and their transcript ii record of cockpit convers and their transcript iii data from voluntari occurr report system iv record of commun between the aircraft and air traffic control agenc and their transcript v record of flight data and the chart and paramet extract or transcrib from them or extract and transcrib vi data from automat and manu
73,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"For the effects of this Resolution, are considered as airport areas those located in the airport and destined: I - to public agencies that, by legal provision, must operate in Brazilian airports;
II - to the attendance and movement of passengers, baggage, and cargo; III - to concessionaires, permissionaires or air service authorizers;
IV - services ancillary to air transport and aircraft fuelling; V - to the shelter and maintenance of aircraft;
VI - the aeronautical industry; and VII - to the ot",None,None,for the effect of thi resolut are consid a airport area those locat in the airport and destin i to public agenc that by legal provis must oper in brazilian airport ii to the attend and movement of passeng baggag and cargo iii to concessionair permissionair or air servic author iv servic ancillari to air transport and aircraft fuell v to the shelter and mainten of aircraft vi the aeronaut industri and vii to the ot
74,Law 7565/1986 - Brazilian Aeronautical Code,"The aircraft operator will pay the injured parties 30% (thirty percent) of the maximum amount to which he is obligated, under the terms of the previous article, within 60 (sixty) days as of the occurrence of the fact (articles 252 and 253).",None,None,the aircraft oper will pay the injur parti thirti percent of the maximum amount to which he is oblig under the term of the previou articl within sixti day a of the occurr of the fact articl and
75,Law 13499/2017 - Concession contracts, - limitation of each reprogrammed contribution installment to up to 50% (fifty percent) above the value of the contribution installment originally agreed upon for each year.,A,A,limit of each reprogram contribut instal to up to fifti percent abov the valu of the contribut instal origin agre upon for each year
76,Notice of Auction 2/2011 (second round of airport concession),Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A,A,bidder must submit a statement issu by a financi institut on the econom viabil of the offer
