,Unnamed: 0,Law,Paragraph,Text,Category,text_clean
23,23,INFRAERO's Internal Bidding and Contract Regulation,Art. 64,"Exceptionally, instead of the performance guarantee, Infraero may request the deposit of an amount up to 1% of the offered price or the estimated value of the contract.",A,except instead of the perform guarante infraero may request the deposit of an amount up to of the offer price or the estim valu of the contract
24,24,INFRAERO's Internal Bidding and Contract Regulation,Art. 64,"Exceptionally, instead of the performance guarantee, Infraero may request the deposit of an amount up to 1% of the offered price or the estimated value of the contract.",A,except instead of the perform guarante infraero may request the deposit of an amount up to of the offer price or the estim valu of the contract
25,25,Decree 7624/2011 - Concession of airports,"Art. 16, sole par.","In case of concessions granted by States or Municipalities, ANAC must approve the possibility of participation of airlines in the concessionaire’s capital and vice-versa.",A,in case of concess grant by state or municip anac must approv the possibl of particip of airlin in the concessionair ’ s capit and vice-versa
26,26,Notice of Auction 2/2011 (second round of airport concession),"1.24
3.5",Foreign documents must be authenticated by the Brazilian Consular Office and translated by a certified translator.,A,foreign document must be authent by the brazilian consular offic and translat by a certifi translat
27,27,Notice of Auction 2/2011 (second round of airport concession),"1.5
3.3
5.25","A single private entity may bid for all airports, but cannot be awarded more than one airport.",A,a singl privat entiti may bid for all airport but can not be award more than one airport
28,28,Notice of Auction 2/2011 (second round of airport concession),"3.9
4.7.3","Foreign companies (if not part of a consortium) must have a legal representative resident and domiciled in Brazil, whose power is delegated by proxy.",A,foreign compani if not part of a consortium must have a legal repres resid and domicil in brazil whose power is deleg by proxi
29,29,Notice of Auction 2/2011 (second round of airport concession),"3.16
3.17","Airlines and their related companies cannot participate in the auction (except in a consortium, with a maximum stake of 2% and without participation in corporate governance).",A,airlin and their relat compani can not particip in the auction except in a consortium with a maximum stake of and without particip in corpor govern
30,30,Notice of Auction 2/2011 (second round of airport concession),3.18,"A parent company or related company to an airline, at the same time related to public entities (either foreign or Brazilian), may participate with a maximum 20% stake in a consortium.",A,a parent compani or relat compani to an airlin at the same time relat to public entiti either foreign or brazilian may particip with a maximum stake in a consortium
31,31,Notice of Auction 2/2011 (second round of airport concession),"4.14
4.15","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
BSB: at least BRL 37 342 000
VCP: at least BRL 90 887 000
GRU: at least BRL 123 870 000",A,bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante bsb at least brl vcp at least brl gru at least brl
32,32,Notice of Auction 2/2011 (second round of airport concession),"4.14
4.15","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
BSB: at least BRL 37 342 000
VCP: at least BRL 90 887 000
GRU: at least BRL 123 870 000",A,bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante bsb at least brl vcp at least brl gru at least brl
33,33,Notice of Auction 2/2011 (second round of airport concession),4.29,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A,bidder must submit a statement issu by a financi institut on the econom viabil of the offer
34,34,Notice of Auction 2/2011 (second round of airport concession),4.29,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A,bidder must submit a statement issu by a financi institut on the econom viabil of the offer
35,35,Notice of Auction 2/2011 (second round of airport concession),4.37,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A,foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ
36,36,Notice of Auction 2/2011 (second round of airport concession),4.37,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A,foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ
37,37,Notice of Auction 2/2011 (second round of airport concession),"4.46
3.10.4",The bidder (or one member of a consortium) must prove a 5-year experience as airport operator having handled at least 5 million passengers at least 1 year in the previous 10 years. The airport operator must hold at least 10% stake in the consortium.,A,the bidder or one member of a consortium must prove a 5-year experi a airport oper have handl at least million passeng at least year in the previou year the airport oper must hold at least stake in the consortium
38,38,Notice of Auction 2/2011 (second round of airport concession),6.18 ,"The shareholders of the concessionaire must not participate, either directly or indirectly, in the voting capital of airlines, except in a stake lower than 2% and without participation in corporate governance.",A,the sharehold of the concessionair must not particip either directli or indirectli in the vote capit of airlin except in a stake lower than and without particip in corpor govern
39,39,Notice of Auction 2/2011 (second round of airport concession),6.2.2.3,Any change to the shareholders’ agreement is subject to approval by ANAC.,A,ani chang to the sharehold ’ agreement is subject to approv by anac
40,40,Notice of Auction 2/2011 (second round of airport concession),6.2.6.6,"Minimum capital requirement (49% paid by Infraero):
BSB: BRL 243 251 000.00
VCP: BRL 435 513 000.00
GRU: BRL 543 315 000.00",A,minimum capit requir paid by infraero bsb brl 000.00 vcp brl 000.00 gru brl 000.00
41,41,Notice of Auction 2/2011 (second round of airport concession),6.2.6.6,"Minimum capital requirement (49% paid by Infraero):
BSB: BRL 243 251 000.00
VCP: BRL 435 513 000.00
GRU: BRL 543 315 000.00",A,minimum capit requir paid by infraero bsb brl 000.00 vcp brl 000.00 gru brl 000.00
42,42,Notice of Auction 2/2011 (second round of airport concession),6.2.6.7,Mandatory requirement of 49% share to Infraero.,A,mandatori requir of share to infraero
43,43,Notice of Auction 2/2011 (second round of airport concession),6.2.8,"The winning group must have a performance guarantee for stage 1-B (airport expansion):
BSB: BRL 266 732 000
VCP: BRL 649 197 000
GRU: BRL 884 853 000",A,the win group must have a perform guarante for stage 1-b airport expans bsb brl vcp brl gru brl
44,44,Notice of Auction 2/2011 (second round of airport concession),6.2.8,"The winning group must have a performance guarantee for stage 1-B (airport expansion):
BSB: BRL 266 732 000
VCP: BRL 649 197 000
GRU: BRL 884 853 000",A,the win group must have a perform guarante for stage 1-b airport expans bsb brl vcp brl gru brl
45,45,Concession Contract - São Paulo/Guarulhos International Airport,"2.5
2.6","The term of the concession is 20 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract
46,46,Concession Contract - São Paulo/Guarulhos International Airport,"2.5
2.6","The term of the concession is 20 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A,the term of the concess is year extend for up to year if it is necessari to restor the econom balanc of the contract
47,47,Concession Contract - São Paulo/Guarulhos International Airport,2.10,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) a fixed fee must be paid annually, corresponding to the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, corresponding to 10% of the concessionaire's annual gross revenue.",A,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid annual correspond to the minimum price the bidder 's premium and ii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu
48,48,Concession Contract - São Paulo/Guarulhos International Airport,2.10,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) a fixed fee must be paid annually, corresponding to the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, corresponding to 10% of the concessionaire's annual gross revenue.",A,the concessionair must pay the concess fee to the feder govern branch i a fix fee must be paid annual correspond to the minimum price the bidder 's premium and ii a variabl fee must be paid annual correspond to of the concessionair 's annual gross revenu
49,49,Concession Contract - São Paulo/Guarulhos International Airport,3.1.26,"The concessionaire must publish a report with information on the concession, especially statistical data on traffic and passengers.",C,the concessionair must publish a report with inform on the concess especi statist data on traffic and passeng
50,50,Concession Contract - São Paulo/Guarulhos International Airport,4.14,The concessionaire must not enter into a contract with its related parties for the exploitation of economic activities (generating non-tariff revenues) at the airport.,A,the concessionair must not enter into a contract with it relat parti for the exploit of econom activ gener non-tariff revenu at the airport
51,51,Concession Contract - São Paulo/Guarulhos International Airport,3.1.45,Minimum capital requirement (49% paid by Infraero): GRU: BRL 543 315 000.00.,A,minimum capit requir paid by infraero gru brl 000.00
52,52,Concession Contract - São Paulo/Guarulhos International Airport,3.1.45,Minimum capital requirement (49% paid by Infraero): GRU: BRL 543 315 000.00.,A,minimum capit requir paid by infraero gru brl 000.00
53,53,Concession Contract - São Paulo/Guarulhos International Airport,3.1.65,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A,the concessionair is requir to maintain a perform guarante in the form of a cash bond public-debt secur insur or bank guarante
54,54,Concession Contract - São Paulo/Guarulhos International Airport,3.1.65,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A,the concessionair is requir to maintain a perform guarante in the form of a cash bond public-debt secur insur or bank guarante
55,55,Concession Contract - São Paulo/Guarulhos International Airport,"4.4
4.5","The concessionaire is free to set the tariffs, if in accordance to the price-cap and if based on objective and non-discriminatory criteria.",B,the concessionair is free to set the tariff if in accord to the price-cap and if base on object and non-discriminatori criterion
56,56,Concession Contract - São Paulo/Guarulhos International Airport,"4.4
4.5","The concessionaire is free to set the tariffs, if in accordance to the price-cap and if based on objective and non-discriminatory criteria.",B,the concessionair is free to set the tariff if in accord to the price-cap and if base on object and non-discriminatori criterion
57,57,Concession Contract - São Paulo/Guarulhos International Airport,10.6,"Shareholders must not conclude any shareholders’ agreement, except for the one with Infraero (whose conclusion is required by the notice of auction).",A,sharehold must not conclud ani sharehold ’ agreement except for the one with infraero whose conclus is requir by the notic of auction
58,58,Concession Contract - São Paulo/Guarulhos International Airport,10.2,"Merger, acquisition, de-merger or reduction of capital of the concessionaire is subject to approval by ANAC and CADE (if applicable).",A,merger acquisit de-merg or reduct of capit of the concessionair is subject to approv by anac and cade if applic
59,59,Concession Contract - São Paulo/Guarulhos International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair
60,60,Concession Contract - São Paulo/Guarulhos International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair
61,61,Concession Contract - São Paulo/Guarulhos International Airport,10.7,"In the first five years, share transfer leading to a change in the concessionaire’s control and public offering of shares of the concessionaire are prohibited. The share transfer of the private shareholder is subject to prior approval by ANAC and must not cause a change of shareholding control. The concessionaire of the other airports of the second round and its shareholders must not become shareholders of GRU concessionaire.",A,in the first five year share transfer lead to a chang in the concessionair ’ s control and public offer of share of the concessionair are prohibit the share transfer of the privat sharehold is subject to prior approv by anac and must not caus a chang of sharehold control the concessionair of the other airport of the second round and it sharehold must not becom sharehold of gru concessionair
62,62,Concession Contract - São Paulo/Guarulhos International Airport,10.8,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac
63,63,Concession Contract - São Paulo/Guarulhos International Airport,10.8,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac
64,64,Concession Contract - São Paulo/Guarulhos International Airport,10.8,"After the first five years, share transfer involving the shareholders of the concessionaire of the other airports of the second round is subject to prior approval by ANAC.",A,after the first five year share transfer involv the sharehold of the concessionair of the other airport of the second round is subject to prior approv by anac
65,65,Concession Contract - São Paulo/Guarulhos International Airport,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A,the concessionair may enter into agreement with third parti air carrier ground handl provid or other firm for lea airport area these agreement are govern by privat law
66,66,Concession Contract - São Paulo/Guarulhos International Airport,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A,the concessionair may enter into agreement with third parti air carrier ground handl provid or other firm for lea airport area these agreement are govern by privat law
67,67,Concession Contract - São Paulo/Guarulhos International Airport,11.1.6.1,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority.",A,the concessionair may enter into contract with airlin provid the build mainten or use of airport termin or part thereof either exclus or with prioriti
68,68,Concession Contract - São Paulo/Guarulhos International Airport,11.6.4,"If the price of lease of airport operating areas is not set on objective and non-discriminatory criteria, ANAC may regulate prices through price-cap, revenue-cap or other method, after a public consultation.",B,if the price of lea of airport oper area is not set on object and non-discriminatori criterion anac may regul price through price-cap revenue-cap or other method after a public consult
69,69,Concession Contract - São Paulo/Guarulhos International Airport,11.7.1,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A,in case of shortag of area for new entrant to provid ground handl servic the concessionair must requir anac ’ s authoris to restrict the number of provid anac may establish the minimum number of provid
70,70,Concession Contract - São Paulo/Guarulhos International Airport,11.7.1,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A,in case of shortag of area for new entrant to provid ground handl servic the concessionair must requir anac ’ s authoris to restrict the number of provid anac may establish the minimum number of provid
71,71,Concession Contract - São Paulo/Guarulhos International Airport,11.7.2,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A,in case of shortag of area for the current ground handl incumb firm the concessionair must requir anac ’ s authoris to reduc the number of provid anac may establish the minimum number of provid
72,72,Concession Contract - São Paulo/Guarulhos International Airport,11.7.2,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A,in case of shortag of area for the current ground handl incumb firm the concessionair must requir anac ’ s authoris to reduc the number of provid anac may establish the minimum number of provid
73,73,Concession Contract - São Paulo/Guarulhos International Airport,11.7.3,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A,in case of ground handl servic whose complex cost or environment impact doe not allow of divis or duplic of the infrastructur the concessionair must request anac ’ s authoris to provid thi servic exclus
74,74,Concession Contract - São Paulo/Guarulhos International Airport,11.7.3,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A,in case of ground handl servic whose complex cost or environment impact doe not allow of divis or duplic of the infrastructur the concessionair must request anac ’ s authoris to provid thi servic exclus
75,75,Notice of Auction 1/2013 (third round of airport concession),"3.5
1.24",Foreign documents must be authenticated by the Brazilian Consular Office and translated by a certified translator.,A,foreign document must be authent by the brazilian consular offic and translat by a certifi translat
76,76,Notice of Auction 1/2013 (third round of airport concession),"1.5
3.3
5.25","A single private entity may bid for all airports, but cannot be awarded more than one airport.",A,a singl privat entiti may bid for all airport but can not be award more than one airport
77,77,Notice of Auction 1/2013 (third round of airport concession),"3.18
3.19
3.20","Shareholders of the concessionaire of the airports awarded in the  second “round” and their related companies must not participate in the auction (except in a consortium, with a maximum stake of 15% and without participation in corporate governance).",A,sharehold of the concessionair of the airport award in the second “ round ” and their relat compani must not particip in the auction except in a consortium with a maximum stake of and without particip in corpor govern
78,78,Notice of Auction 1/2013 (third round of airport concession),"3.10
4.6.3","Foreign companies (if not part of a consortium) must have a legal representative resident and domiciled in Brazil, whose power is delegated by proxy.",A,foreign compani if not part of a consortium must have a legal repres resid and domicil in brazil whose power is deleg by proxi
79,79,Notice of Auction 1/2013 (third round of airport concession),"3.21
3.22
3.24","Airlines and their related companies cannot participate in the auction (except in a consortium, with a maximum stake of 4% and without participation in corporate governance).",A,airlin and their relat compani can not particip in the auction except in a consortium with a maximum stake of and without particip in corpor govern
80,80,Notice of Auction 1/2013 (third round of airport concession),"4.13
4.14","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
GIG: at least BRL 129 530 710
CNF: at least BRL 51 169 860",A,bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante gig at least brl cnf at least brl
81,81,Notice of Auction 1/2013 (third round of airport concession),"4.13
4.14","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
GIG: at least BRL 129 530 710
CNF: at least BRL 51 169 860",A,bidder must submit a bid bond in the form of a cash bond public-debt secur insur or bank guarante gig at least brl cnf at least brl
82,82,Notice of Auction 1/2013 (third round of airport concession),4.28,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A,bidder must submit a statement issu by a financi institut on the econom viabil of the offer
83,83,Notice of Auction 1/2013 (third round of airport concession),4.28,Bidders must submit a Statement issued by a financial institution on the economic viability of the offer.,A,bidder must submit a statement issu by a financi institut on the econom viabil of the offer
84,84,Notice of Auction 1/2013 (third round of airport concession),4.36,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A,foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ
85,85,Notice of Auction 1/2013 (third round of airport concession),4.36,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A,foreign compani when oper in brazil must submit the authoris for oper in the countri if an authoris is requir for the respect activ
86,86,Notice of Auction 1/2013 (third round of airport concession),"4.45
3.11.4 ",The bidder (or one member of a consortium) must prove a 5-year experience as airport operator having handled at least (i) 5 million passengers at least 1 year in the previous 5 years (CNF); or (ii) 22 million passengers at least 1 year in the previous 5 years (GIG). The airport operator must hold at least 25% stake in the consortium.,A,the bidder or one member of a consortium must prove a 5-year experi a airport oper have handl at least i million passeng at least year in the previou year cnf or ii million passeng at least year in the previou year gig the airport oper must hold at least stake in the consortium
87,87,Notice of Auction 1/2013 (third round of airport concession),6.18 ,"The shareholders of the concessionaire must not participate, either directly or indirectly, in the voting capital of airlines, except in a stake lower than 4% and without participation in corporate governance.",A,the sharehold of the concessionair must not particip either directli or indirectli in the vote capit of airlin except in a stake lower than and without particip in corpor govern
88,88,Notice of Auction 1/2013 (third round of airport concession),6.2.6.6,"Minimum capital requirement (49% paid by Infraero): 
GIG: BRL 722 770 000.00
CNF: BRL 526 940 000.00.",A,minimum capit requir paid by infraero gig brl 000.00 cnf brl 000.00
89,89,Notice of Auction 1/2013 (third round of airport concession),6.2.6.6,"Minimum capital requirement (49% paid by Infraero): 
GIG: BRL 722 770 000.00
CNF: BRL 526 940 000.00.",A,minimum capit requir paid by infraero gig brl 000.00 cnf brl 000.00
